before_before_rse_id,before_rse_id,rse_id,frequency,distance,total_time,avg_time,avg_speed
RSE7125,RSE7124,RSE7121,1230,598.4700000000029,88800.0,72.1951219512195,29.842625675675823
RSE7056,RSE7067,RSE7401,1205,514.3295938584552,136419.0,113.21078838174274,16.355212823418867
RSE7124,RSE7121,RSE7097,990,515.4199999999951,88100.0,88.98989898989899,20.850815891032717
RSE7117,RSE7114,RSE7131,878,341.1514503426557,118518.0,134.98633257403188,9.09829312208328
RSE7194,RSE7125,RSE7124,820,583.3800000000019,103308.0,125.98536585365854,16.669936113369783
RSE7131,RSE7114,RSE7117,711,341.2814503426568,98057.0,137.9142053445851,8.90853279518101
RSE7125,RSE7194,RSE7196,685,247.92947460970026,96353.0,140.66131386861315,6.345355976332038
RSE7196,RSE7194,RSE7125,650,248.4694746096995,316012.0,486.1723076923077,1.839862317211678
RSE7121,RSE7097,RSE7120,581,457.98000000000434,109926.0,189.2013769363167,8.71414376944498
RSE7120,RSE7109,RSE7059,581,787.6299999999794,143939.0,247.7435456110155,11.44517405289711
RSE7144,RSE7131,RSE7114,576,650.75,62782.0,108.99652777777777,21.49334522633876
RSE7097,RSE7120,RSE7109,524,438.9100000000029,108145.0,206.38358778625954,7.656015756623104
RSE7114,RSE7131,RSE7144,503,650.6899999999905,103302.0,205.37176938369782,11.4060662136259
RSE7097,RSE7121,RSE7124,443,521.6199999999969,31607.0,71.34762979683973,26.31947277501804
RSE7056,RSE7056,RSE7067,431,513.4200000000043,55035.0,127.69141531322506,14.474833687653433
RSE7124,RSE7125,RSE7194,385,582.7300000000035,38267.0,99.3948051948052,21.10601249118052
RSE7121,RSE7124,RSE7125,365,604.2400000000059,51144.0,140.1205479452055,15.52423275457547
RSE7401,RSE7067,RSE7056,360,516.3295938584581,33699.0,93.60833333333333,19.85706263214225
RSE7109,RSE7097,RSE7121,337,254.08917357704718,29727.0,88.2106824925816,10.369730729090511
RSE7059,RSE7109,RSE7097,329,554.5191735770441,50112.0,152.3161094224924,13.10609253641146
RSE7126,RSE7125,RSE7124,323,868.1399999999936,36784.0,113.88235294117646,27.443268595041122
