start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE7125,RSE7124,3089,336.3399999999895,118242.0,38.278407251537715,31.632037144160986
RSE7124,RSE7121,2580,262.1300000000041,93896.0,36.393798449612405,25.92936269915692
RSE7114,RSE7131,2236,340.3299999999906,164631.0,73.62745974955277,16.64036765858146
RSE7121,RSE7097,2103,253.28999999999158,115864.0,55.094626723728005,16.550506904646276
RSE7131,RSE7114,2010,340.45999999999833,103326.0,51.40597014925373,23.84267812554428
RSE7056,RSE7067,1986,513.4200000000176,105241.0,52.99144008056395,34.879444627095204
RSE7194,RSE7125,1780,247.03999999999314,159269.0,89.47696629213483,9.939362462249127
RSE7125,RSE7194,1565,246.5,50437.0,32.22811501597444,27.534964411047447
RSE7120,RSE7109,1514,234.21999999999352,123550.0,81.60501981505945,10.33259966005637
RSE7131,RSE7131,1504,0.0,116292.0,77.32180851063829,
RSE7125,RSE7125,1495,0.0,126935.0,84.90635451505017,
RSE7109,RSE7059,1407,553.410000000003,196927.0,139.96233120113718,14.234372798041992
RSE7097,RSE7120,1382,204.690000000002,164832.0,119.27062228654124,6.178252329644789
RSE7124,RSE7125,1367,336.2299999999946,95111.0,69.5764447695684,17.39709472090477
RSE7097,RSE7121,1351,253.6099999999916,51253.0,37.93708364174685,24.066056543030832
RSE7056,RSE7056,1279,0.0,99215.0,77.57232212666145,
RSE7067,RSE7401,1221,0.9095938584530571,75817.0,62.09418509418509,0.05273501674052333
RSE7059,RSE7109,1122,554.0399999999981,109874.0,97.92691622103386,20.367679050548745
RSE7117,RSE7114,1055,0.8214503426639463,63947.0,60.61327014218009,0.04878834662200992
RSE7144,RSE7131,1039,310.28999999999826,54772.0,52.71607314725698,21.189818082231678
RSE7131,RSE7144,1039,310.3599999999919,106510.0,102.51203079884505,10.899169505210493
RSE7121,RSE7124,991,268.0100000000036,49740.0,50.19172552976791,19.22300916767215
RSE7114,RSE7117,878,0.8214503426639397,80878.0,92.11617312072893,0.03210317073978314
RSE7130,RSE7114,815,199.8699999999977,32336.0,39.6760736196319,18.13516142998495
RSE7196,RSE7194,799,1.429474609700263,328389.0,411.0,0.012520945486425662
RSE7194,RSE7196,798,1.429474609700263,87174.0,109.2406015037594,0.04710802141403304
RSE7109,RSE7097,758,0.47917357704769015,37140.0,48.99736147757256,0.03520648511167843
RSE7109,RSE7120,679,233.69000000000173,32931.0,48.499263622974965,17.346325225471567
RSE7059,RSE7059,673,0.0,54341.0,80.7444279346211,
RSE7067,RSE7056,653,515.4200000000009,30060.0,46.03369065849923,40.30769580838331
RSE7109,RSE7109,621,0.0,61725.0,99.39613526570048,
RSE7126,RSE7125,576,531.7999999999943,41218.0,71.55902777777777,26.753857052743662
RSE7068,RSE8069,576,411.8999999999961,38844.0,67.4375,21.98835959221481
RSE7126,RSE7126,567,0.0,53451.0,94.26984126984127,
RSE7120,RSE7097,555,205.36000000000053,20716.0,37.32612612612613,19.806395056960856
RSE7120,RSE7114,539,313.8699999999976,16616.0,30.827458256029686,36.653427298988646
RSE7097,RSE7109,537,0.4791735770476964,80328.0,149.58659217877096,0.01153194850050551
RSE7131,RSE7132,521,208.63999999999947,33380.0,64.06909788867563,11.723342840023935
RSE7114,RSE7130,520,199.869999999999,40859.0,78.575,9.157263760738102
RSE7129,RSE7130,511,256.22999999999865,15810.0,30.939334637964777,29.814086527514075
RSE7124,RSE7124,489,0.0,36278.0,74.1881390593047,
RSE7144,RSE7144,464,0.0,36696.0,79.08620689655173,
RSE8069,RSE8069,439,0.0,49150.0,111.95899772209567,
RSE7114,RSE7120,412,313.720000000001,42540.0,103.25242718446601,10.938164174894252
RSE7385,RSE7144,401,231.52000000000018,12397.0,30.915211970074814,26.959931596353975
RSE7132,RSE7131,391,208.6399999999995,12957.0,33.1381074168798,22.665868951146045
RSE7060,RSE7056,383,1.9197684798576875,56814.0,148.33942558746736,0.04659022036870806
RSE7401,RSE7067,364,0.9095938584530762,19462.0,53.467032967032964,0.06124405467664737
RSE7114,RSE7109,363,0.3804346755151753,55428.0,152.69421487603304,0.00896933019346235
RSE7067,RSE7068,346,676.160000000003,45125.0,130.41907514450867,18.66426362326878
RSE7385,RSE7385,334,0.0,36823.0,110.24850299401197,
RSE7092,RSE7125,312,380.08000000000146,33729.0,108.10576923076923,12.656937827981904
RSE7196,RSE7196,304,0.0,32517.0,106.96381578947368,
RSE7130,RSE7129,300,255.77999999999918,22498.0,74.99333333333334,12.278531425015517
RSE7121,RSE7121,291,0.0,27865.0,95.75601374570446,
RSE7125,RSE7126,289,529.9900000000007,24965.0,86.3840830449827,22.086985619867843
RSE7120,RSE7120,280,0.0,21719.0,77.56785714285714,
RSE7068,RSE7068,274,0.0,20246.0,73.8905109489051,
RSE7117,RSE7117,256,0.0,20964.0,81.890625,
RSE7132,RSE7130,253,339.3800000000002,15029.0,59.40316205533597,20.567389979373225
RSE7144,RSE7385,236,231.51999999999896,10976.0,46.50847457627118,17.920862973760855
RSE7116,RSE7142,230,205.0,10428.0,45.33913043478261,16.277330264672035
RSE7130,RSE7130,226,0.0,31677.0,140.1637168141593,
RSE7125,RSE7092,225,378.7899999999991,12178.0,54.12444444444444,25.19460502545568
RSE7092,RSE7126,220,0.9111988879754234,25372.0,115.32727272727273,0.028443540882726444
RSE7121,RSE7129,219,312.9700000000008,14865.0,67.87671232876713,16.59909505549954
RSE7097,RSE7097,215,0.0,17973.0,83.5953488372093,
RSE7385,RSE7060,215,560.8899999999995,38678.0,179.89767441860465,11.224180671182575
RSE7121,RSE7125,202,0.5988989637335862,32631.0,161.53960396039605,0.013346796801417789
RSE7121,RSE7120,198,0.5103240483308591,27383.0,138.2979797979798,0.013284117213243121
RSE7117,RSE7120,193,461.3000000000016,31225.0,161.78756476683938,10.264571337069691
RSE8069,RSE7068,186,412.83000000000135,10615.0,57.06989247311828,26.041541968912004
RSE7126,RSE7092,186,0.9111988879754246,11113.0,59.74731182795699,0.05490315624838876
RSE7130,RSE7097,178,315.72000000000077,18276.0,102.67415730337079,11.06989363099149
RSE7109,RSE7114,174,550.1000000000012,18820.0,108.16091954022988,18.309385759830008
RSE7109,RSE7385,173,968.279999999999,23047.0,133.21965317919074,26.165869050201735
RSE7060,RSE7385,164,560.8800000000006,20515.0,125.09146341463415,16.141533122105795
RSE7117,RSE7116,163,211.97000000000045,5850.0,35.88957055214724,21.262221538461585
RSE7116,RSE7117,162,211.97000000000045,15143.0,93.4753086419753,8.163567588985027
RSE7124,RSE7097,156,0.5121157874548757,16990.0,108.91025641025641,0.016927853221580826
RSE7401,RSE7068,155,287.06999999999977,8242.0,53.174193548387095,19.43521718029603
RSE7097,RSE7130,148,315.72000000000065,10891.0,73.58783783783784,15.44537838582319
RSE7385,RSE7109,145,970.6999999999988,21221.0,146.35172413793103,23.877545827246568
RSE7097,RSE7142,145,249.2999999999998,5598.0,38.60689655172414,23.2466237942122
RSE7129,RSE7129,133,0.0,13339.0,100.29323308270676,
RSE7067,RSE8069,131,0.9454519129198067,29173.0,222.6946564885496,0.015283828270420624
RSE7112,RSE7092,119,0.4602545610930089,7833.0,65.82352941176471,0.02517209931983212
RSE7068,RSE7067,115,669.160000000002,5470.0,47.56521739130435,50.645747714808195
RSE7060,RSE7059,115,970.6399999999995,10435.0,90.73913043478261,38.5093397220891
RSE7142,RSE7097,110,249.68999999999957,11843.0,107.66363636363636,8.34900278645612
RSE7059,RSE7060,109,970.289999999998,14469.0,132.74311926605503,26.314313083143222
RSE7130,RSE7132,109,338.5499999999999,9808.0,89.98165137614679,13.544761419249589
RSE7112,RSE7117,106,875.850000000001,23672.0,223.32075471698113,14.118974315647195
RSE7116,RSE7116,100,0.0,8632.0,86.32,
RSE7132,RSE7132,98,0.0,9440.0,96.3265306122449,
RSE7059,RSE7056,93,932.3500000000007,11911.0,128.0752688172043,26.2069330870624
RSE7056,RSE7059,91,931.9299999999986,11672.0,128.26373626373626,26.156637080191874
RSE7097,RSE7124,90,0.5121157874548767,9748.0,108.31111111111112,0.017021493140683224
RSE7385,RSE7131,90,0.36187765621443263,8427.0,93.63333333333334,0.013913416472466614
RSE7131,RSE7385,89,0.36187765621443263,17732.0,199.23595505617976,0.006538777410957829
RSE7142,RSE7116,82,205.0,10487.0,127.89024390243902,5.7705730904929915
RSE7060,RSE7060,80,0.0,6947.0,86.8375,
RSE7059,RSE7068,79,0.6829717250933794,8857.0,112.11392405063292,0.02193035549469991
RSE7097,RSE7114,72,0.4480034565397879,5218.0,72.47222222222223,0.022254215395767156
