start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE1515,RSE7359,1601,798.257530550888,132844.0,82.97564022485946,34.63338278795503
RSE7056,RSE7067,1279,2459.39271201087,83979.0,65.65989053948397,134.84356569121866
RSE7105,RSE7056,1233,1121.96470863324,175323.0,142.19221411192214,28.405725139777587
RSE1504,RSE8102,1194,558.204079184573,180773.0,151.40117252931324,13.272913620767307
RSE1517,RSE1515,1155,572.068668217746,76753.0,66.45281385281385,30.991121160728415
RSE8050,RSE7105,1130,0.0,0.0,0.0,
RSE1508,RSE1505,1121,748.486377282559,192466.0,171.69134701159678,15.694157015584548
RSE1607,RSE7196,1092,367.199874451212,226649.0,207.5540293040293,6.369038232873758
RSE7104,RSE7056,1014,1689.60926493978,171289.0,168.9240631163708,36.00785608378923
RSE7359,RSE1511,1013,904.425261335136,195290.0,192.78381046396842,16.889026796236234
RSE1519,RSE1517,1006,410.021203467698,105819.0,105.18787276341948,14.032761512380716
RSE1511,RSE1508,987,321.468694631323,88121.0,89.28166160081054,12.962206122990171
RSE1507,RSE1504,985,0.0,0.0,0.0,
RSE1501,RSE8103,964,355.122992736789,64408.0,66.81327800829875,19.134561451896545
RSE7196,RSE1607,941,367.199874451212,60621.0,64.42189160467588,20.519725750002898
RSE7106,RSE7105,894,0.0,0.0,0.0,
RSE1505,RSE8103,847,441.994143225989,139543.0,164.74970484061393,9.65815943131999
RSE8102,RSE1501,796,503.928485795461,40964.0,51.462311557788944,35.25186673409513
RSE7203,RSE7196,795,0.0,0.0,0.0,
RSE8103,RSE7157,789,374.931681212414,63414.0,80.37262357414448,16.793704029326975
RSE7359,RSE1515,783,798.257530550888,100750.0,128.67177522349937,22.333779921755266
RSE7060,RSE7056,774,0.0,0.0,0.0,
RSE7104,RSE7105,746,442.8675796095,45540.0,61.0455764075067,26.116933943769727
RSE1517,RSE1519,713,410.021203467698,33542.0,47.04347826086956,31.376853647990202
RSE1502,RSE1503,707,0.0,0.0,0.0,
RSE1523,RSE1519,700,0.0,0.0,0.0,
RSE1501,RSE8102,695,503.928485795461,62807.0,90.36978417266187,20.074658421198965
RSE7157,RSE8103,671,374.931681212414,57094.0,85.08792846497765,15.863049867529114
RSE7194,RSE7196,661,0.0,0.0,0.0,
RSE8103,RSE1501,633,355.122992736789,26807.0,42.34913112164297,30.18817009917539
RSE7067,RSE7056,617,2459.39271201087,30797.0,49.91410048622366,177.38101412210753
RSE1515,RSE1517,605,572.068668217746,47689.0,78.82479338842975,26.126896336225354
RSE7359,RSE1607,595,1061.1318611518,129065.0,216.91596638655463,17.61085070768338
RSE1503,RSE1505,577,1396.30486990086,146671.0,254.19584055459273,19.774900803553983
RSE8099,RSE8102,560,992.692266170961,55108.0,98.40714285714286,36.315373604570254
RSE1505,RSE7104,525,1463.18193713523,142536.0,271.4971428571429,19.40151162643532
RSE1505,RSE1508,491,748.486377282559,41512.0,84.54582484725051,31.870893247365853
RSE8507,RSE7105,487,0.0,0.0,0.0,
RSE8102,RSE8099,469,992.692266170961,39425.0,84.06183368869937,42.51266004319722
RSE7157,RSE7104,465,1190.0,51769.0,111.33118279569892,38.47978519963685
RSE7056,RSE7104,462,1689.60926493978,60054.0,129.98701298701297,46.79385435521102
RSE7192,RSE1505,450,1185.65976794313,41425.0,92.05555555555556,46.367382596689694
RSE1508,RSE1511,431,321.468694631323,24810.0,57.56380510440835,20.10442670656835
RSE7192,RSE7157,429,837.49354635529,30751.0,71.68065268065268,42.06123485386198
RSE8098,RSE8099,390,0.0,0.0,0.0,
RSE8103,RSE1505,384,441.994143225989,27279.0,71.0390625,22.398647442927057
RSE1511,RSE7359,381,904.425261335136,30958.0,81.25459317585302,40.07073094021812
RSE1607,RSE1513,369,1405.79285282112,99656.0,270.07046070460706,18.739014466641002
RSE8103,RSE7104,356,1040.09161530646,81100.0,227.80898876404495,16.436268978751652
RSE8053,RSE7056,314,0.0,0.0,0.0,
RSE7192,RSE7104,308,330.00077584649,38518.0,125.05844155844156,9.499580981841948
RSE7056,RSE7105,306,1121.96470863324,34531.0,112.84640522875817,35.79265943732812
RSE1513,RSE1607,304,1405.79285282112,79579.0,261.7730263157895,19.332986065764004
RSE1602,RSE1513,301,0.0,0.0,0.0,
RSE7401,RSE7067,296,0.0,0.0,0.0,
RSE1505,RSE1503,292,1396.30486990086,50240.0,172.05479452054794,29.215678328817358
RSE1607,RSE7359,287,1061.1318611518,58185.0,202.73519163763066,18.842681772656864
RSE7267,RSE7196,273,0.0,0.0,0.0,
RSE1513,RSE7359,264,878.837913501464,42385.0,160.54924242424244,19.70620627561145
RSE1506,RSE1503,255,0.0,0.0,0.0,
RSE8102,RSE1504,252,558.204079184573,31561.0,125.2420634920635,16.045205812117633
RSE7511,RSE7056,250,0.0,0.0,0.0,
RSE7104,RSE8103,250,1040.09161530646,44518.0,178.072,21.027055433213846
RSE7104,RSE7157,246,1190.0,17563.0,71.39430894308943,60.004782781984865
RSE1512,RSE1513,240,544.256239118999,27348.0,113.95,17.194580612798564
RSE8055,RSE7056,199,0.0,0.0,0.0,
RSE8507,RSE8102,190,0.0,0.0,0.0,
RSE7054,RSE7056,190,0.0,0.0,0.0,
RSE1504,RSE1505,180,718.620471395037,35624.0,197.9111111111111,13.071695078149116
RSE7359,RSE1513,172,878.837913501464,50226.0,292.01162790697674,10.83455652530774
RSE1513,RSE1512,169,544.256239118999,22009.0,130.23076923076923,15.04500412921982
RSE7105,RSE7104,163,442.8675796095,6831.0,41.9079754601227,38.04343371612569
RSE1602,RSE1512,151,0.0,0.0,0.0,
RSE1524,RSE1511,149,367.591963372092,26770.0,179.66442953020135,7.365570756548006
RSE8102,RSE8103,147,670.722959697133,18659.0,126.93197278911565,19.0228088467615
RSE1503,RSE1504,147,847.812929938864,27142.0,184.63945578231292,16.530196836034442
RSE1505,RSE1504,143,718.620471395037,12473.0,87.22377622377623,29.659730511838774
RSE1508,RSE7359,141,,14572.0,103.34751773049645,
RSE7059,RSE7056,134,0.0,0.0,0.0,
RSE1518,RSE1519,134,0.0,0.0,0.0,
RSE1516,RSE1515,130,0.0,0.0,0.0,
RSE7195,RSE7196,128,0.0,0.0,0.0,
RSE1507,RSE1512,127,0.0,0.0,0.0,
RSE8100,RSE8099,126,0.0,0.0,0.0,
RSE1504,RSE1503,117,847.812929938864,22338.0,190.92307692307693,15.98615838885529
RSE7357,RSE1519,105,0.0,0.0,0.0,
RSE7274,RSE7196,99,0.0,0.0,0.0,
RSE7359,RSE1517,93,711.896841650175,18228.0,196.0,13.075656275207296
RSE8046,RSE7105,93,0.0,0.0,0.0,
RSE1505,RSE7157,91,1543.36424495312,19091.0,209.7912087912088,26.484004329089213
RSE2110,RSE7105,84,0.0,0.0,0.0,
RSE8103,RSE8102,82,670.722959697133,9659.0,117.79268292682927,20.49874911508372
RSE7118,RSE7105,82,0.0,0.0,0.0,
RSE7510,RSE1607,79,0.0,0.0,0.0,
RSE1511,RSE1505,78,2215.96665644332,17576.0,225.33333333333334,35.40301758814772
RSE1515,RSE1519,77,942.813063009359,10382.0,134.83116883116884,25.17316326971627
RSE8100,RSE8102,75,0.0,0.0,0.0,
RSE1517,RSE7359,74,711.896841650175,10695.0,144.52702702702703,17.73252160968739
RSE7401,RSE7056,74,0.0,0.0,0.0,
RSE1504,RSE1501,73,867.580185988177,12116.0,165.97260273972603,18.818097794461284
RSE1507,RSE8102,66,0.0,0.0,0.0,
RSE8103,RSE7105,65,,21197.0,326.10769230769233,
RSE8050,RSE8102,63,0.0,0.0,0.0,
RSE1523,RSE1517,63,0.0,0.0,0.0,
RSE7359,RSE1508,61,,17573.0,288.08196721311475,
RSE1601,RSE1503,58,0.0,0.0,0.0,
RSE7068,RSE7067,58,0.0,0.0,0.0,
RSE7157,RSE1505,57,1543.36424495312,5635.0,98.85964912280701,56.202012966172184
RSE7057,RSE7056,54,0.0,0.0,0.0,
RSE7062,RSE7056,53,0.0,0.0,0.0,
RSE1516,RSE1517,52,0.0,0.0,0.0,
RSE1519,RSE1515,51,942.813063009359,8103.0,158.88235294117646,21.36251738473631
RSE1507,RSE1505,51,0.0,0.0,0.0,
RSE1515,RSE1511,50,,12549.0,250.98,
RSE1524,RSE1508,48,620.740352602863,10542.0,219.625,10.17491300794676
RSE7125,RSE7196,48,0.0,0.0,0.0,
RSE7104,RSE1505,47,1463.18193713523,13418.0,285.48936170212767,18.450617361997388
RSE7192,RSE8103,47,1104.54299179477,8352.0,177.70212765957447,22.37651750618715
RSE1508,RSE7104,46,1347.09030175198,17741.0,385.67391304347825,12.574158952151958
RSE1501,RSE7157,46,1488.56712657264,5571.0,121.1086956521739,44.24819891589108
RSE1507,RSE1508,46,0.0,0.0,0.0,
RSE8050,RSE8103,45,0.0,0.0,0.0,
RSE7194,RSE1607,43,0.0,0.0,0.0,
RSE8100,RSE1504,42,0.0,0.0,0.0,
RSE8066,RSE7105,40,0.0,0.0,0.0,
RSE8524,RSE1503,40,0.0,0.0,0.0,
RSE7106,RSE7056,40,0.0,0.0,0.0,
RSE1508,RSE8103,40,1834.64492671248,12275.0,306.875,21.52251482253337
RSE8098,RSE8102,39,0.0,0.0,0.0,
RSE8044,RSE7105,39,0.0,0.0,0.0,
RSE1501,RSE8099,39,605.465525838908,5649.0,144.84615384615384,15.048213812671746
RSE1607,RSE1511,39,809.129850362053,10957.0,280.94871794871796,10.36796851244248
RSE1507,RSE1513,37,0.0,0.0,0.0,
RSE9999,RSE7056,36,0.0,0.0,0.0,
RSE8069,RSE7067,36,0.0,0.0,0.0,
RSE1515,RSE1607,35,,9442.0,269.77142857142854,
RSE7208,RSE7196,35,0.0,0.0,0.0,
RSE7108,RSE7104,34,0.0,0.0,0.0,
RSE7104,RSE7067,33,2469.17430759991,7774.0,235.57575757575756,37.73320140762405
RSE1502,RSE1505,33,0.0,0.0,0.0,
RSE7108,RSE7105,33,0.0,0.0,0.0,
RSE1504,RSE8099,32,828.893691409636,9485.0,296.40625,10.067322430193999
RSE1522,RSE1519,32,0.0,0.0,0.0,
RSE7157,RSE1501,32,1488.56712657264,3409.0,106.53125,50.303001754522775
RSE7359,RSE7196,31,1406.40841045085,11290.0,364.19354838709677,13.9021415948906
RSE7108,RSE8103,30,0.0,0.0,0.0,
RSE9999,RSE7067,30,0.0,0.0,0.0,
RSE8099,RSE1501,29,605.465525838908,5455.0,188.10344827586206,11.58764452751274
RSE1505,RSE1501,28,668.006283130544,6791.0,242.53571428571428,9.91533402143408
RSE8051,RSE7105,28,0.0,0.0,0.0,
RSE7203,RSE1607,27,0.0,0.0,0.0,
RSE7065,RSE7056,27,0.0,0.0,0.0,
RSE7108,RSE1505,26,0.0,0.0,0.0,
RSE7058,RSE7067,25,0.0,0.0,0.0,
RSE1510,RSE1511,24,0.0,0.0,0.0,
RSE1505,RSE7056,23,1680.624489062,11890.0,516.9565217391304,11.703591900280372
RSE7067,RSE7104,23,2469.17430759991,5817.0,252.91304347826087,35.14657601328392
RSE8103,RSE1508,22,1834.64492671248,2517.0,114.4090909090909,57.728994118247286
RSE1509,RSE1512,22,0.0,0.0,0.0,
RSE8523,RSE1503,21,0.0,0.0,0.0,
RSE1501,RSE7104,21,1299.44224108104,7233.0,344.42857142857144,13.581893187574538
RSE7105,RSE7067,21,,4329.0,206.14285714285714,
RSE8099,RSE1504,21,828.893691409636,4901.0,233.38095238095238,12.786036129477347
RSE7196,RSE1513,21,1405.79285282112,6959.0,331.3809523809524,15.27201317334052
RSE7054,RSE7105,21,0.0,0.0,0.0,
RSE1501,RSE1505,20,668.006283130544,3260.0,163.0,14.753513001656186
RSE7108,RSE7157,20,0.0,0.0,0.0,
RSE1509,RSE1504,20,0.0,0.0,0.0,
RSE8507,RSE8103,20,0.0,0.0,0.0,
RSE1510,RSE1513,19,0.0,0.0,0.0,
RSE8084,RSE7105,19,0.0,0.0,0.0,
RSE1607,RSE1512,18,,5771.0,320.6111111111111,
RSE1524,RSE1505,18,1305.52736264137,8427.0,468.1666666666667,10.03894305199487
RSE1511,RSE1515,18,,3997.0,222.05555555555554,
RSE8507,RSE1504,18,0.0,0.0,0.0,
RSE8506,RSE7105,18,0.0,0.0,0.0,
RSE1513,RSE1515,18,1595.57700478291,3085.0,171.38888888888889,33.51487517339792
RSE1607,RSE1515,18,,5588.0,310.44444444444446,
RSE7511,RSE7067,17,0.0,0.0,0.0,
RSE1501,RSE1504,17,867.580185988177,4765.0,280.29411764705884,11.142897666836607
RSE1505,RSE7105,16,1680.624489062,5669.0,354.3125,17.076022326683933
RSE7385,RSE7056,16,0.0,0.0,0.0,
RSE8069,RSE7056,16,0.0,0.0,0.0,
RSE7157,RSE7056,16,1695.53949849044,4699.0,293.6875,20.78379976868469
RSE1505,RSE1511,15,2215.96665644332,1484.0,98.93333333333334,80.63490528836878
RSE1524,RSE7359,15,1260.77326042634,1767.0,117.8,38.52957332372516
RSE8050,RSE8099,14,0.0,0.0,0.0,
RSE1509,RSE1511,14,0.0,0.0,0.0,
RSE8100,RSE1501,14,0.0,0.0,0.0,
RSE1518,RSE1517,14,0.0,0.0,0.0,
RSE8103,RSE7056,14,1689.60926493978,6263.0,447.35714285714283,13.596727918404106
RSE9402,RSE7067,13,0.0,0.0,0.0,
RSE8096,RSE8099,13,0.0,0.0,0.0,
RSE7199,RSE7196,13,0.0,0.0,0.0,
RSE7359,RSE1505,13,2215.96665644332,4817.0,370.53846153846155,21.52942485396458
RSE1505,RSE7359,13,2215.96665644332,1749.0,134.53846153846155,59.29516267669947
RSE1502,RSE1504,12,0.0,0.0,0.0,
RSE1512,RSE7359,12,,3262.0,271.8333333333333,
RSE8053,RSE8103,12,0.0,0.0,0.0,
RSE1506,RSE1512,12,0.0,0.0,0.0,
RSE8102,RSE7105,12,,6071.0,505.9166666666667,
RSE2110,RSE8103,12,0.0,0.0,0.0,
RSE1515,RSE1513,12,1595.57700478291,5967.0,497.25,11.551688722410208
RSE9038,RSE7056,11,0.0,0.0,0.0,
RSE8050,RSE7056,11,0.0,0.0,0.0,
RSE1504,RSE1512,11,,1517.0,137.9090909090909,
RSE7359,RSE1519,11,1091.64980329604,2510.0,228.1818181818182,17.22284151813673
RSE8507,RSE8099,11,0.0,0.0,0.0,
RSE7056,RSE8103,11,1689.60926493978,2809.0,255.36363636363637,23.819340296053856
RSE7105,RSE8103,11,,3681.0,334.6363636363636,
RSE7117,RSE7105,10,0.0,0.0,0.0,
RSE7060,RSE7104,10,0.0,0.0,0.0,
RSE9402,RSE7056,10,0.0,0.0,0.0,
RSE8028,RSE7105,10,0.0,0.0,0.0,
RSE2110,RSE8102,10,0.0,0.0,0.0,
RSE9038,RSE7067,10,0.0,0.0,0.0,
RSE7359,RSE1512,10,,3723.0,372.3,
RSE1524,RSE1504,10,1397.61126752952,3937.0,393.7,12.779782989855912
RSE1506,RSE1505,10,0.0,0.0,0.0,
RSE9158,RSE7056,10,0.0,0.0,0.0,
RSE1513,RSE7196,10,1405.79285282112,5077.0,507.7,9.968198286696932
RSE1509,RSE1513,10,0.0,0.0,0.0,
RSE8523,RSE8099,10,0.0,0.0,0.0,
RSE1602,RSE1607,9,0.0,0.0,0.0,
RSE7068,RSE7056,9,0.0,0.0,0.0,
RSE7056,RSE7157,9,1695.53949849044,1569.0,174.33333333333334,35.01305274129398
RSE7056,RSE1505,9,1680.624489062,3600.0,400.0,15.125620401558
RSE8053,RSE7067,9,0.0,0.0,0.0,
RSE7196,RSE7359,9,1406.40841045085,2096.0,232.88888888888889,21.740282680633367
RSE1512,RSE1504,9,,3031.0,336.77777777777777,
RSE7192,RSE1503,9,1500.8691615179,1882.0,209.11111111111111,25.838555171721552
RSE1512,RSE1607,8,,2723.0,340.375,
RSE7272,RSE7196,8,0.0,0.0,0.0,
RSE8103,RSE1503,8,1358.78018407596,1453.0,181.625,26.932463387052753
RSE7268,RSE7196,8,0.0,0.0,0.0,
RSE7192,RSE7056,8,1695.53949849044,2405.0,300.625,20.30417362017658
RSE8103,RSE1504,8,1085.87145083533,3987.0,498.375,7.843766687749563
RSE1505,RSE7067,8,1680.624489062,4108.0,513.5,11.782372269957547
RSE1516,RSE7359,8,0.0,0.0,0.0,
RSE1601,RSE1505,8,0.0,0.0,0.0,
RSE7357,RSE1517,8,0.0,0.0,0.0,
RSE1511,RSE7104,8,1470.0408596449,2995.0,374.375,14.135952172879172
RSE7192,RSE1508,7,1347.09030175198,1338.0,191.14285714285714,25.371207476943123
RSE7157,RSE8102,7,1171.28587789116,1603.0,229.0,18.413227774708194
RSE7196,RSE8103,7,1508.28782312975,8356.0,1193.7142857142858,4.548689940506187
RSE7112,RSE1607,7,0.0,0.0,0.0,
RSE7157,RSE7105,7,,1007.0,143.85714285714286,
RSE8102,RSE7157,7,1171.28587789116,1251.0,178.71428571428572,23.59424789996581
RSE7267,RSE1607,7,0.0,0.0,0.0,
RSE8034,RSE7056,7,0.0,0.0,0.0,
RSE7358,RSE1519,7,0.0,0.0,0.0,
RSE7108,RSE7056,6,0.0,0.0,0.0,
RSE1508,RSE1515,6,,1389.0,231.5,
RSE8524,RSE8103,6,0.0,0.0,0.0,
RSE7106,RSE7104,6,0.0,0.0,0.0,
RSE7067,RSE7105,6,,1100.0,183.33333333333334,
RSE9158,RSE7067,6,0.0,0.0,0.0,
RSE7208,RSE1607,6,0.0,0.0,0.0,
RSE8099,RSE8103,6,911.135020161499,1750.0,291.6666666666667,11.246009391707645
RSE8506,RSE8102,6,0.0,0.0,0.0,
RSE1511,RSE1607,6,809.129850362053,2972.0,495.3333333333333,5.880620715955702
RSE8079,RSE1513,6,0.0,0.0,0.0,
RSE8051,RSE7056,6,0.0,0.0,0.0,
RSE8507,RSE7056,6,0.0,0.0,0.0,
RSE7106,RSE8103,6,0.0,0.0,0.0,
RSE7054,RSE7067,6,0.0,0.0,0.0,
RSE1523,RSE1515,6,0.0,0.0,0.0,
RSE1508,RSE1504,6,1323.66296472852,2058.0,343.0,13.892672516101085
RSE8100,RSE1503,6,0.0,0.0,0.0,
RSE7518,RSE7196,6,0.0,0.0,0.0,
RSE7113,RSE1505,5,0.0,0.0,0.0,
RSE7058,RSE7056,5,0.0,0.0,0.0,
RSE7064,RSE7056,5,0.0,0.0,0.0,
RSE8030,RSE7056,5,0.0,0.0,0.0,
RSE2108,RSE7105,5,0.0,0.0,0.0,
RSE1506,RSE1504,5,0.0,0.0,0.0,
RSE7274,RSE1607,5,0.0,0.0,0.0,
RSE1504,RSE8103,5,1085.87145083533,1215.0,243.0,16.086984456819703
