start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE8050,RSE7105,1462,0.0,0.0,0.0,
RSE7359,RSE1515,1343,798.257530550888,232000.0,172.74758004467608,16.63541167546308
RSE8102,RSE8102,1268,0.0,0.0,0.0,
RSE7194,RSE7196,1243,0.0,0.0,0.0,
RSE7056,RSE7104,1239,1689.60926493978,177615.0,143.35351089588377,42.430724687314665
RSE7056,RSE7056,1224,0.0,0.0,0.0,
RSE1515,RSE7359,1197,798.257530550888,80130.0,66.94235588972431,42.92838326032555
RSE7196,RSE1607,1145,367.199874451212,136806.0,119.48122270742358,11.063826750931216
RSE7196,RSE7196,1108,0.0,0.0,0.0,
RSE7067,RSE7056,1067,2459.39271201087,217141.0,203.50609184629803,43.506381960920116
RSE1519,RSE1517,1004,410.021203467698,77073.0,76.76593625498008,19.228272388691863
RSE1517,RSE1515,991,572.068668217746,107123.0,108.09586276488396,19.052044665791946
RSE1607,RSE7196,973,367.199874451212,155705.0,160.0256937307297,8.260670628609907
RSE7106,RSE7105,941,0.0,0.0,0.0,
RSE1501,RSE8102,929,503.928485795461,481624.0,518.43272335845,3.4992824857032447
RSE1502,RSE1503,917,0.0,0.0,0.0,
RSE8103,RSE1501,913,355.122992736789,102836.0,112.63526834611172,11.350288347731126
RSE1511,RSE7359,904,904.425261335136,119792.0,132.5132743362832,24.5706021311028
RSE7359,RSE1511,849,904.425261335136,86167.0,101.49234393404005,32.080557159291956
RSE1505,RSE1508,841,748.486377282559,106884.0,127.09155766944114,21.20165184555851
RSE1515,RSE1517,837,572.068668217746,155750.0,186.08124253285544,11.067462671420303
RSE7157,RSE8103,832,374.931681212414,96601.0,116.10697115384616,11.625090543238914
RSE1517,RSE1519,830,410.021203467698,50217.0,60.50240963855422,24.39698420776792
RSE7105,RSE7056,827,1121.96470863324,91023.0,110.06408706166869,36.6974647126867
RSE8103,RSE7157,789,374.931681212414,43334.0,54.92268694550064,24.575528391464918
RSE8102,RSE1504,758,558.204079184573,265079.0,349.7084432717678,5.746314462024011
RSE1523,RSE1519,749,0.0,0.0,0.0,
RSE8102,RSE1501,723,503.928485795461,97176.0,134.40663900414938,13.497417704252344
RSE7056,RSE7067,710,2459.39271201087,51884.0,73.07605633802817,121.15888851861432
RSE7060,RSE7056,696,0.0,0.0,0.0,
RSE1501,RSE8103,692,355.122992736789,129422.0,187.02601156069363,6.835641540896361
RSE7192,RSE1505,674,1185.65976794313,91175.0,135.27448071216617,31.55343965930585
RSE8103,RSE1505,637,441.994143225989,57257.0,89.88540031397174,17.702306604359954
RSE8102,RSE8099,605,992.692266170961,310614.0,513.4115702479339,6.96067709671925
RSE1504,RSE8102,604,558.204079184573,176276.0,291.8476821192053,6.885559859418954
RSE1507,RSE1504,600,0.0,0.0,0.0,
RSE1508,RSE1511,582,321.468694631323,58085.0,99.80240549828179,11.595785641586433
RSE8099,RSE8102,567,992.692266170961,170998.0,301.5837742504409,11.84974943395926
RSE1503,RSE1505,557,1396.30486990086,181618.0,326.064631956912,15.416261191760753
RSE8098,RSE8099,554,0.0,0.0,0.0,
RSE7401,RSE7067,550,0.0,0.0,0.0,
RSE1511,RSE1508,547,321.468694631323,103768.0,189.7038391224863,6.100494887325584
RSE8103,RSE8103,538,0.0,0.0,0.0,
RSE1513,RSE1607,535,1405.79285282112,239848.0,448.3140186915888,11.288637114061729
RSE7104,RSE7157,524,1190.0,83689.0,159.7118320610687,26.823310112440108
RSE7208,RSE7196,503,0.0,0.0,0.0,
RSE7104,RSE1511,494,1470.0408596449,249718.0,505.502024291498,10.469091794714398
RSE7104,RSE7056,486,1689.60926493978,88228.0,181.53909465020575,33.505693996674964
RSE1505,RSE8103,475,441.994143225989,86927.0,183.0042105263158,8.694766699833666
