route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,497,880,24.38273460304331,7.5077123571236255,77.75452716297787,252.52272727272728,383,-16.875022245919684,174.76820010974942,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,681,1286,32.2052924749412,7.87710042145018,58.8928046989721,240.7814930015552,605,-24.328192053491023,181.8886883025831,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,708,1358,17.42911362477559,10.349288022635683,149.590395480226,251.92341678939616,650,-7.0798256021399055,102.33302130917016,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,852,1568,42.73340715711885,25.56661637166981,61.13615023474178,102.18622448979592,716,-17.166790785449038,41.05007425505414,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,305,602,46.87592039801014,19.446037614550235,142.34754098360656,343.13787375415285,297,-27.429882783459902,200.79033277054629,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,752,647,10.712355546786467,4.105927088140323,107.83510638297872,281.3415765069552,-105,-6.606428458646144,173.5064701239765,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,175,289,20.508964250999032,3.271612782072549,158.72571428571428,995.0138408304498,114,-17.237351468926484,836.2881265447355,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,133,168,7.049223529411753,1.0184636678200674,237.10526315789477,1641.107142857143,35,-6.030759861591686,1404.001879699248,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,548,1156,23.868280872224343,14.116361940626968,127.7043795620438,215.92560553633217,608,-9.751918931597375,88.22122597428837,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,358,956,41.29342608956125,15.156685320803264,74.60335195530726,203.2520920502092,598,-26.13674076875799,128.64874009490194,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,574,578,21.00201984624265,4.3155266831608365,51.440766550522646,250.3425605536332,4,-16.686493163081813,198.90179400311055,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,412,595,19.48407685205523,6.391708661653236,55.20631067961165,168.2873949579832,183,-13.092368190401995,113.08108427837155,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,540,647,29.939809184581847,17.490067729330534,87.34444444444445,149.5177743431221,107,-12.449741455251313,62.173329898677665,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,397,542,20.779062018904952,5.103249379385597,126.31234256926952,514.309963099631,145,-15.675812639519355,387.9976205303615,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1504,RSE1505,127.3405407,36.34835572,127.3478138,36.34869141,117,205,12.157795875198332,0.8699589333297894,210.11111111111111,2936.3317073170733,88,-11.287836941868543,2726.220596205962,진터지하차도->도안호반베르디움201동삼거리
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,565,696,11.782106849142952,9.77678826066717,112.7716814159292,135.9022988505747,131,-2.0053185884757827,23.130617434645515,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,336,563,0.023047815075106,0.0064119499723545,58.63392857142857,210.7602131438721,227,-0.0166358651027515,152.12628457244352,용반네거리->도안호반베르디움201동삼거리
17,RSE8102,RSE1501,127.3417161,36.35324983,127.3450559,36.35287005,424,933,0.0140318759040857,0.0053325700425379,77.49528301886792,203.91747052518755,509,-0.0086993058615478,126.42218750631963,유성네거리->계룡로132번길
18,RSE1501,RSE8103,127.3450559,36.35287005,127.3482089,36.3520523,525,977,18.754796511627955,2.693550650203878,55.04,383.2354145342886,452,-16.061245861424077,328.1954145342886,계룡로132번길->용반네거리
19,RSE8103,RSE7157,127.3482089,36.3520523,127.3514407,36.35071847,427,739,14.869190041321042,19.328872463617248,67.44496487119437,51.88362652232747,312,4.459682422296206,-15.561338348866904,용반네거리->만년교네거리
20,RSE7157,RSE7104,127.3514407,36.35071847,127.3570383,36.3560317,132,405,29.686559763895687,5.833423850552107,92.4090909090909,470.27407407407406,273,-23.85313591334358,377.8649831649832,만년교네거리->월평초교삼거리
21,RSE7104,RSE7105,127.3570383,36.3560317,127.3598975,36.35871541,264,405,30.630274327947085,13.50346319625196,52.27651515151515,118.58024691358024,141,-17.126811131695124,66.3037317620651,월평초교삼거리->갑천대교네거리
22,RSE7105,RSE7056,127.3598975,36.35871541,127.3688543,36.36497985,471,607,32.98275679910484,34.322447607428366,113.8216560509554,109.37891268533772,136,1.3396908083235246,-4.442743365617673,갑천대교네거리->갑천네거리
23,RSE1505,RSE7157,127.3478138,36.34869141,127.3514407,36.35071847,38,45,0.0111654022027121,0.0008978897682841,127.47368421052632,1585.1555555555556,7,-0.010267512434428,1457.6818713450293,도안호반베르디움201동삼거리->만년교네거리
24,RSE1511,RSE7157,127.348894,36.33949898,127.3514407,36.35071847,1,18,0.015689438284494,0.0024488595528525,291.0,1864.388888888889,17,-0.0132405787316415,1573.388888888889,원신흥로입구->만년교네거리
