route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,823,1660,21.06804434242521,8.922389403613094,89.98784933171325,212.4843373493976,837,-12.145654938812116,122.49648801768436,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,853,1761,27.65935478355976,8.211577917368134,68.57209847596718,230.9738784781374,908,-19.447776866191624,162.40178000217023,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,1350,2348,18.33512772962129,10.625972193003246,142.1985185185185,245.36371379897784,998,-7.709155536618045,103.16519528045933,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,1063,2087,35.27252556709907,21.57889593268707,74.06773283160865,121.0699568758984,1024,-13.693629634412002,47.00222404428975,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,388,784,27.30519565056914,13.277870738492254,244.3737113402062,502.5408163265306,396,-14.027324912076885,258.1671049863244,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,1200,1116,5.816677926274116,4.549109132676336,198.59583333333333,253.93279569892476,-84,-1.2675687935977802,55.33696236559143,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,305,437,20.711039028765725,2.5164665674868165,157.17704918032786,1293.5995423340962,132,-18.19457246127891,1136.4224931537683,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,211,276,9.801208604302134,0.6816398177796349,170.53080568720378,2452.039855072464,65,-9.1195687865225,2281.5090493852604,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,707,1550,33.12778263208848,10.853204598080955,92.009900990099,280.84645161290325,843,-22.274578034007526,188.83655062280425,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,681,1686,30.967712273968264,9.797943441393524,99.47870778267254,314.41577698695136,1005,-21.16976883257474,214.93706920427883,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,720,914,26.831983442566735,4.325983702795099,40.263888888888886,249.73741794310723,194,-22.505999739771635,209.47352905421835,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,733,1123,26.36241313360988,7.532445855106381,40.80218281036835,142.80142475512022,390,-18.8299672785035,101.99924194475187,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,1017,1326,21.513422303473533,30.418263427985316,121.55555555555556,85.97058823529412,309,8.904841124511783,-35.58496732026144,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,648,810,17.647831820115737,7.837612699629861,148.72376543209876,334.87901234567903,162,-9.810219120485876,186.15524691358027,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1504,RSE1505,127.3405407,36.34835572,127.3478138,36.34869141,159,244,13.339143879930404,0.9432388654409836,191.5031446540881,2708.2090163934427,85,-12.39590501448942,2516.7058717393547,진터지하차도->도안호반베르디움201동삼거리
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,823,883,10.593873572238133,7.966155638694403,125.42041312272175,166.7916194790487,60,-2.62771793354373,41.37120635632695,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,619,1147,0.0116674104638857,0.0076636262536597,115.82552504038772,176.33740191804708,528,-0.0040037842102260005,60.51187687765936,용반네거리->도안호반베르디움201동삼거리
17,RSE8102,RSE1501,127.3417161,36.35324983,127.3450559,36.35287005,566,1360,0.016474498088053,0.0030967396655958,66.00530035335689,351.14485294117645,794,-0.0133777584224572,285.1395525878196,유성네거리->계룡로132번길
18,RSE1501,RSE8103,127.3450559,36.35287005,127.3482089,36.3520523,775,1396,13.318981103804097,2.1111610678277075,77.50322580645161,488.95558739255017,621,-11.20782003597639,411.45236158609856,계룡로132번길->용반네거리
19,RSE8103,RSE7157,127.3482089,36.3520523,127.3514407,36.35071847,786,1007,13.685701645947873,9.593980334597038,73.27735368956743,104.52929493545184,221,-4.091721311350835,31.25194124588441,용반네거리->만년교네거리
20,RSE7157,RSE7104,127.3514407,36.35071847,127.3570383,36.3560317,271,543,22.429145839618627,2.893082283754399,122.309963099631,948.2302025782687,272,-19.536063555864228,825.9202394786378,만년교네거리->월평초교삼거리
21,RSE7104,RSE7105,127.3570383,36.3560317,127.3598975,36.35871541,362,477,31.04881504097696,6.4833195086963,51.57182320441989,246.97903563941296,115,-24.56549553228066,195.40721243499306,월평초교삼거리->갑천대교네거리
22,RSE7105,RSE7056,127.3598975,36.35871541,127.3688543,36.36497985,577,698,29.32137235367368,13.683683881815863,128.03466204506066,274.352435530086,121,-15.637688471857818,146.31777348502533,갑천대교네거리->갑천네거리
23,RSE1505,RSE7157,127.3478138,36.34869141,127.3514407,36.35071847,51,74,0.0063746414927614,0.0005634218482846,223.2745098039216,2526.162162162162,23,-0.0058112196444767995,2302.8876523582403,도안호반베르디움201동삼거리->만년교네거리
24,RSE1511,RSE7157,127.348894,36.33949898,127.3514407,36.35071847,0,33,0.0,0.0009285218893038,0.0,4917.090909090909,33,0.0009285218893038,4917.090909090909,원신흥로입구->만년교네거리
