route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,537,984,24.10344040911043,4.875849401605339,78.65549348230913,388.8282520325203,447,-19.22759100750509,310.1727585502112,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,814,1515,27.977986299880047,12.35133767763311,67.7911547911548,153.55907590759077,701,-15.626648622246938,85.76792111643597,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,808,1411,20.06496008229254,11.341120695980097,129.93935643564356,229.89156626506025,603,-8.723839386312443,99.95220982941669,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,971,1972,41.54112492835722,32.01625951266713,62.8908341915551,81.60091277890467,1001,-9.524865415690087,18.71007858734957,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,335,723,40.309898654741055,23.379299620549627,165.53432835820897,285.4094052558783,388,-16.930599034191427,119.87507689766935,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,903,790,10.892690329250447,3.9055842438404738,106.0498338870432,295.77341772151897,-113,-6.987106085409973,189.72358383447576,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,206,383,17.02182455071581,2.649667617343404,191.24271844660197,1228.5691906005222,177,-14.372156933372406,1037.3264721539203,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,183,281,10.109990877239357,1.021187656140944,165.3224043715847,1636.729537366548,98,-9.088803221098413,1471.4071329949631,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,591,1328,32.358277092202485,17.79950025943813,94.1979695431472,171.24548192771084,737,-14.558776832764355,77.04751238456365,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,380,918,44.23513603385731,16.211879684248338,69.6421052631579,190.02287581699343,538,-28.02325634960897,120.38077055383553,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,667,795,27.21094026130989,6.886128905529768,39.70314842578711,156.88930817610063,128,-20.32481135578012,117.18615975031352,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,404,633,19.230028144083384,7.668547365101548,55.93564356435643,140.26698262243286,229,-11.561480778981835,84.33133905807642,원신흥북로종점->원신흥로입구
