route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,1573,3409,21.59168510983379,8.856100682258733,87.80546726001272,214.07480199471985,1836,-12.735584427575057,126.26933473470713,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,1631,3562,27.90866693130684,8.206310933281355,67.95953402820355,231.1221224031443,1931,-19.702355998025485,163.16258837494075,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,2611,5087,18.41335425463103,11.306213731672807,141.59440827269245,230.6013367407116,2476,-7.107140522958224,89.00692846801914,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,1974,4253,36.55271172096944,19.86796769255997,71.47365754812563,131.49588525746532,2279,-16.684744028409472,60.02222770933969,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,774,1571,23.95399095576693,11.7492420063484,278.56201550387595,567.9236155315086,797,-12.20474894941853,289.3616000276327,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,2385,2453,5.733756391766168,3.869378461084738,201.4679245283019,298.5409702405218,68,-1.8643779306814294,97.07304571221991,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,593,1202,20.342408978344487,2.7230899637628463,160.02529510961213,1195.4434276206323,609,-17.61931901458164,1035.41813251102,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,422,956,10.86148810422086,0.9589438298674454,153.88388625592418,1742.9675732217572,534,-9.902544274353415,1589.083686965833,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,1300,3069,33.96834372026324,12.126004503225126,89.73307692307692,251.36754643206257,1769,-21.842339217038116,161.63446950898566,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,1371,3807,32.54811454728954,7.902511116995639,94.64843180160469,389.82899921197793,2436,-24.645603430293903,295.1805674103732,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,1293,1816,28.602253936402825,5.230986402175476,37.77184841453983,206.5308370044053,523,-23.37126753422735,168.75898858986545,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,1412,2492,24.08858428890847,10.514175177099268,44.65368271954674,102.30417335473516,1080,-13.574409111809203,57.65049063518842,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,2022,3470,19.6156893056932,19.87818889979306,133.31552917903068,131.5550432276657,1448,0.2624995940998609,-1.7604859513649842,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,1189,1586,19.334063738305737,8.528773271430364,135.75273338940286,307.7408575031526,397,-10.805290466875373,171.98812411374973,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1504,RSE1505,127.3405407,36.34835572,127.3478138,36.34869141,292,764,11.892515999425967,1.1042996842641375,214.79794520547944,2313.219895287958,472,-10.78821631516183,2098.4219500824784,진터지하차도->도안호반베르디움201동삼거리
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,1454,1859,11.134620627647744,7.0828307798183765,119.32943603851444,187.59279182356104,405,-4.051789847829367,68.2633557850466,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,1276,2752,11.153246065612752,7.871335782119408,121.1653605015674,171.6845930232558,1476,-3.2819102834933442,50.51923252168838,용반네거리->도안호반베르디움201동삼거리
17,RSE8102,RSE1501,127.3417161,36.35324983,127.3450559,36.35287005,1185,2855,15.282811827447782,3.3861451922505856,71.15274261603375,321.1362521891418,1670,-11.896666635197196,249.98350957310808,유성네거리->계룡로132번길
18,RSE1501,RSE8103,127.3450559,36.35287005,127.3482089,36.3520523,1478,2860,16.81548965623623,2.2631849981371275,61.38768606224628,456.1111888111888,1382,-14.552304658099104,394.7235027489425,계룡로132번길->용반네거리
19,RSE8103,RSE7157,127.3482089,36.3520523,127.3514407,36.35071847,1535,2248,13.959445205169189,9.072990425596032,71.84039087947883,110.53158362989323,713,-4.886454779573157,38.6911927504144,용반네거리->만년교네거리
20,RSE7157,RSE7104,127.3514407,36.35071847,127.3570383,36.3560317,467,1112,24.723548496661603,2.570545172641663,110.9593147751606,1067.2086330935251,645,-22.15300332401994,956.2493183183645,만년교네거리->월평초교삼거리
21,RSE7104,RSE7105,127.3570383,36.3560317,127.3598975,36.35871541,676,1173,26.363061545580727,11.22454484716265,60.73816568047337,142.6555839727195,497,-15.138516698418078,81.91741829224614,월평초교삼거리->갑천대교네거리
22,RSE1505,RSE7157,127.3478138,36.34869141,127.3514407,36.35071847,89,156,6.623133529100826,0.6950966461432648,214.8988764044944,2047.6346153846157,67,-5.928036882957562,1832.7357389801214,도안호반베르디움201동삼거리->만년교네거리
23,RSE1511,RSE7157,127.348894,36.33949898,127.3514407,36.35071847,0,87,0.0,1.040592160222232,0.0,4387.528735632184,87,1.040592160222232,4387.528735632184,원신흥로입구->만년교네거리
24,RSE7157,RSE7192,127.3514407,36.35071847,127.358333,36.353386,0,16,0.0,0.1844991035468363,0.0,14431.875,16,0.1844991035468363,14431.875,만년교네거리->월평삼거리
