route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,1139,2167,25.30568387817364,8.14096877260731,81.38279192273924,252.97323488694047,1028,-17.16471510556633,171.59044296420123,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,2495,5289,29.723611834166736,11.563430583315196,69.28657314629258,178.1000189071658,2794,-18.16018125085154,108.81344576087322,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,1435,2770,22.857545759338425,9.624723835203392,125.7233449477352,298.57761732851986,1335,-13.232821924135033,172.85427238078466,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,3407,7406,35.710517393578655,37.56094987274084,80.47285001467567,76.50837159060221,3999,1.850432479162187,-3.9644784240734623,옥녀봉삼거리->옥녀봉네거리
4,RSE1607,RSE7359,127.36794,36.334544,127.347823,36.33207886,548,1264,19.361291634349502,4.6791776367095546,197.30474452554745,816.3987341772151,716,-14.682113997639949,619.0939896516677,도솔네거리->옥녀봉네거리
5,RSE7196,RSE1607,127.3720303,36.33399461,127.36794,36.334544,1660,3752,20.27221744925439,5.042139953162248,65.20843373493976,262.17430703624734,2092,-15.230077496092143,196.96587330130757,안골네거리->도솔네거리
6,RSE7359,RSE1513,127.347823,36.33207886,127.3385757,36.33198127,293,513,11.263237441646108,2.009282170236357,280.8976109215017,1574.6003898635477,220,-9.253955271409751,1293.7027789420458,옥녀봉네거리->위더스타워네거리
7,RSE1513,RSE1512,127.3385757,36.33198127,127.333091,36.332421,280,486,22.24336235050276,1.211546492556733,88.08571428571429,1617.2078189300412,206,-21.03181585794603,1529.122104644327,위더스타워네거리->도로교통공단대전충남지부앞
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,2297,5130,20.0718545664774,12.640334770715985,162.21375707444494,257.58265107212475,2833,-7.431519795761414,95.3688939976798,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,744,1504,43.233435417286,3.790978095099524,75.31048387096774,858.8630319148937,760,-39.44245732218648,783.552548043926,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,2066,2471,16.205583357329015,8.902958315096154,71.41287512100678,129.98907324969647,405,-7.302625042232862,58.5761981286897,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,737,962,29.42932649619429,2.9467077356343494,39.32428765264586,392.7390852390852,225,-26.48261876055994,353.41479758643936,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,887,1318,31.707328300910724,17.57240484019467,84.98196166854567,153.33990895295904,431,-14.134923460716053,68.35794728441337,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,2153,2745,17.64835791304701,6.527169141071789,152.67998142127263,412.8207650273224,592,-11.121188771975223,260.1407836060498,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1505,RSE1504,127.3478138,36.34869141,127.3405407,36.34835572,281,520,28.32261148043181,1.2245254369997962,91.34163701067617,2112.6826923076924,239,-27.098086043432012,2021.3410552970163,도안호반베르디움201동삼거리->진터지하차도
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,1928,2668,14.187375478058522,6.288015076380767,112.1545643153527,253.0494752623688,740,-7.899360401677755,140.8949109470161,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,753,1116,25.180373734034145,3.179753624218685,63.19123505976096,500.4094982078853,363,-22.00062010981546,437.2182631481243,용반네거리->도안호반베르디움201동삼거리
17,RSE1501,RSE8102,127.3450559,36.35287005,127.3417161,36.35324983,930,2425,20.273889909134724,1.5707714333171112,89.48172043010753,1154.937319587629,1495,-18.70311847581761,1065.4555991575214,계룡로132번길->유성네거리
18,RSE8103,RSE1501,127.3482089,36.3520523,127.3450559,36.35287005,819,2714,28.414465295575933,1.6008744627719915,44.99267399267399,798.59027266028,1895,-26.813590832803943,753.597598667606,용반네거리->계룡로132번길
19,RSE7157,RSE8103,127.3514407,36.35071847,127.3482089,36.3520523,1066,2509,18.57811460299936,10.38527068377144,72.65290806754221,129.96811478676764,1443,-8.19284391922792,57.31520671922543,만년교네거리->용반네거리
20,RSE7104,RSE7157,127.3570383,36.3560317,127.3514407,36.35071847,305,920,,,83.56065573770492,365.1282608695652,615,,281.5676051318603,월평초교삼거리->만년교네거리
21,RSE7105,RSE7104,127.3598975,36.35871541,127.3570383,36.3560317,243,563,27.849943112219208,1.6452078409736124,57.24691358024691,969.0710479573712,320,-26.204735271245596,911.8241343771243,갑천대교네거리->월평초교삼거리
22,RSE7157,RSE1505,127.3514407,36.35071847,127.3478138,36.34869141,87,112,46.89383794470319,1.276224397114018,118.48275862068964,4353.553571428572,25,-45.61761354758917,4235.070812807882,만년교네거리->도안호반베르디움201동삼거리
23,RSE7157,RSE1511,127.3514407,36.35071847,127.348894,36.33949898,1,22,10.720201236090228,0.2900307483330508,399.0,14747.954545454546,21,-10.430170487757177,14348.954545454546,만년교네거리->원신흥로입구
24,RSE7192,RSE7157,127.358333,36.353386,127.3514407,36.35071847,658,1653,42.61954783690591,16.104739548428213,70.74164133738601,187.21052631578948,995,-26.514808288477695,116.46888497840347,월평삼거리->만년교네거리
25,RSE7192,RSE7104,127.358333,36.353386,127.3570383,36.3560317,543,910,9.401249202585928,1.0129647162142652,126.36648250460404,1172.7978021978022,367,-8.388284486371663,1046.4313196931982,월평삼거리->월평초교삼거리
26,RSE7104,RSE7192,127.3570383,36.3560317,127.358333,36.353386,0,27,0.0,3.735857839245283,0.0,318.0,27,3.735857839245283,318.0,월평초교삼거리->월평삼거리
27,RSE7192,RSE1505,127.358333,36.353386,127.3478138,36.34869141,744,1503,45.14872647233682,14.16242893847359,94.54032258064515,301.3872255489022,759,-30.98629753386323,206.84690296825707,월평삼거리->도안호반베르디움201동삼거리
28,RSE7192,RSE1511,127.358333,36.353386,127.348894,36.33949898,1,4,20.35851375245901,0.2928634931890872,244.0,16961.75,3,-20.065650259269923,16717.75,월평삼거리->원신흥로입구
