route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,821,1563,25.228758348108837,11.906917149618502,81.63093788063337,172.9622520793346,742,-13.321841198490334,91.33131419870124,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,892,1945,30.379145151708684,9.604686295223177,67.7914798206278,214.42107969151672,1053,-20.77445885648551,146.6295998708889,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,1227,2335,20.820051867135675,13.334829348324709,138.02689486552566,215.5053533190578,1108,-7.485222518810966,77.47845845353214,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,1072,2326,38.81849120578956,25.71107928098367,74.02985074626865,111.76999140154771,1254,-13.107411924805891,37.74014065527906,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,407,817,10.505631327872656,11.786925352920845,363.6216216216216,324.094247246022,410,1.2812940250481883,-39.52737437559961,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,1155,1331,8.415368171937503,5.028737863560943,157.0839826839827,262.8730277986476,176,-3.38663030837656,105.78904511466493,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,305,601,18.45902572926391,2.7006907199204484,171.3967213114754,1171.4841930116472,296,-15.758335009343462,1000.0874717001718,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,202,510,12.483697232952284,1.016559344712652,156.95049504950495,1927.4058823529413,308,-11.467137888239632,1770.4553873034363,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,744,1599,32.59830469063735,8.359868608781046,99.88037634408602,389.4715447154472,855,-24.238436081856303,289.59116837136116,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,712,1721,32.64826676286772,13.54748643406085,99.72752808988764,240.33468913422428,1009,-19.10078032880687,140.60716104433664,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,790,963,24.76922780315842,5.366247612633083,46.72278481012658,215.66043613707168,173,-19.402980190525334,168.93765132694512,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,732,1084,26.38883259640843,15.716014604900906,43.8551912568306,73.63745387453875,352,-10.672817991507525,29.78226261770815,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,991,1531,21.37454073638201,19.163287332082188,126.0635721493441,140.61005878510778,540,-2.2112534042998213,14.546486635763685,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,696,809,21.482330663950428,3.770277881981865,125.43103448275862,714.6823238566132,113,-17.712052781968563,589.2512893738545,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1504,RSE1505,127.3405407,36.34835572,127.3478138,36.34869141,149,328,11.721341022287923,0.9436919638037452,220.7114093959732,2741.3963414634145,179,-10.777649058484178,2520.6849320674414,진터지하차도->도안호반베르디움201동삼거리
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,818,883,12.582258887683858,6.847132182264566,126.46210268948656,232.38618346545863,65,-5.735126705419292,105.92408077597207,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,601,1229,12.908126182459496,4.999409157358537,123.26955074875208,318.273393002441,628,-7.908717025100959,195.00384225368896,용반네거리->도안호반베르디움201동삼거리
17,RSE8102,RSE1501,127.3417161,36.35324983,127.3450559,36.35287005,616,1423,28.2914382306346,4.319986959096941,64.12337662337663,419.9416725228391,807,-23.97145127153766,355.81829589946244,유성네거리->계룡로132번길
18,RSE1501,RSE8103,127.3450559,36.35287005,127.3482089,36.3520523,717,1353,24.730701976453016,2.1726248137512,51.69456066945607,588.4323725055432,636,-22.558077162701817,536.7378118360871,계룡로132번길->용반네거리
19,RSE8103,RSE7157,127.3482089,36.3520523,127.3514407,36.35071847,805,1061,17.87827251530374,23.13029443278571,75.4968944099379,58.354382657869934,256,5.252021917481972,-17.14251175206796,용반네거리->만년교네거리
20,RSE7157,RSE7104,127.3514407,36.35071847,127.3570383,36.3560317,255,560,,,101.31372549019608,617.8303571428571,305,,516.5166316526611,만년교네거리->월평초교삼거리
21,RSE7104,RSE7105,127.3570383,36.3560317,127.3598975,36.35871541,358,710,27.87632413130545,19.01734679800407,57.1927374301676,83.83521126760563,352,-8.858977333301379,26.642473837438033,월평초교삼거리->갑천대교네거리
22,RSE1505,RSE7157,127.3478138,36.34869141,127.3514407,36.35071847,38,102,31.825780632499228,8.781099037233313,174.57894736842104,632.7352941176471,64,-23.044681595265914,458.15634674922603,도안호반베르디움201동삼거리->만년교네거리
23,RSE1511,RSE7157,127.348894,36.33949898,127.3514407,36.35071847,3,30,14.38574089641256,1.1978605255169197,297.3333333333333,3570.833333333333,27,-13.187880370895641,3273.4999999999995,원신흥로입구->만년교네거리
24,RSE7157,RSE7192,127.3514407,36.35071847,127.358333,36.353386,0,3,0.0,11.99592878132626,0.0,251.33333333333331,3,11.99592878132626,251.33333333333331,만년교네거리->월평삼거리
25,RSE7192,RSE7104,127.358333,36.353386,127.3570383,36.3560317,123,264,7.67177736778704,0.7324530583503297,154.85365853658536,1621.9507575757575,141,-6.93932430943671,1467.0970990391722,월평삼거리->월평초교삼거리
26,RSE7104,RSE7192,127.3570383,36.3560317,127.358333,36.353386,0,32,0.0,0.182065905692228,0.0,6525.125,32,0.182065905692228,6525.125,월평초교삼거리->월평삼거리
27,RSE1505,RSE7192,127.3478138,36.34869141,127.358333,36.353386,0,24,0.0,5.191880997171965,0.0,822.125,24,5.191880997171965,822.125,도안호반베르디움201동삼거리->월평삼거리
