start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE1515,RSE7359,2022,725.7099999999793,137968.0,68.23343224530169,38.2885033630976
RSE1607,RSE7196,1757,320.8800000000039,183771.0,104.59362549800797,11.044344189235652
RSE1517,RSE1515,1698,526.8499999999848,121693.0,71.66843345111896,26.464370834804857
RSE7359,RSE1515,1636,724.2299999999865,219100.0,133.9242053789731,19.46793705157426
RSE1519,RSE1517,1620,376.95000000000044,104923.0,64.76728395061728,20.95224497965177
RSE1505,RSE8103,1530,369.0800000000019,185652.0,121.34117647058824,10.950017452007037
RSE7196,RSE1607,1522,316.88000000000386,95361.0,62.655059132720105,18.20711712335254
RSE1501,RSE8102,1427,350.01000000000624,187195.0,131.18079887876664,9.605338668233832
RSE7105,RSE7056,1328,1042.8199999999988,119548.0,90.0210843373494,41.70303021380529
RSE1511,RSE1508,1312,300.09999999999496,52938.0,40.34908536585366,26.77532811968673
RSE1504,RSE8102,1278,616.6300000000041,203516.0,159.24569640062597,13.939893197586525
RSE7359,RSE1511,1269,846.6899999999725,116290.0,91.63908589440504,33.26183331326747
RSE7157,RSE8103,1224,279.17999999999444,148874.0,121.62908496732027,8.263220925077418
RSE1517,RSE1519,1218,373.84999999999246,47536.0,39.027914614121514,34.48454813194141
RSE1515,RSE1517,1179,526.630000000004,94623.0,80.25699745547074,23.622463587077316
RSE1501,RSE8103,1154,286.7399999999953,63599.0,55.11178509532063,18.730367710183813
RSE1508,RSE1505,1149,729.0699999999846,142410.0,123.9425587467363,21.176358036654282
RSE7056,RSE7067,1129,513.4199999999992,87730.0,77.70593445527015,23.78598253733041
RSE1505,RSE1508,1094,726.4100000000036,103506.0,94.61243144424131,27.63987734044417
RSE8103,RSE7157,1063,278.57000000000534,77099.0,72.52963311382878,13.826789919454475
RSE8103,RSE1501,1030,0.29664419814168264,63598.0,61.74563106796116,0.017295460340094958
RSE7067,RSE7056,1027,515.4199999999951,47247.0,46.00486854917234,40.332948631658766
RSE8099,RSE8102,907,234.95000000000323,102962.0,113.51929437706725,7.4508919795653785
RSE8103,RSE1505,889,0.37538442856702575,54405.0,61.19797525309336,0.02208216754316532
RSE7056,RSE7104,868,1.4524165827308475,106798.0,123.03917050691244,0.042496220319831385
RSE1508,RSE1511,842,298.79000000000246,41346.0,49.104513064133016,21.905196343056343
RSE8102,RSE1501,840,0.30205672068687045,43518.0,51.80714285714286,0.020989464666508025
RSE1511,RSE7359,833,855.7299999999899,60544.0,72.68187274909964,42.385093882134804
RSE8102,RSE8099,734,235.08999999999722,92862.0,126.5149863760218,6.689515797635122
RSE8102,RSE1504,721,0.5542884457626654,96045.0,133.2108183079057,0.014979552187220307
RSE7104,RSE7056,710,1.4524165827308473,74820.0,105.38028169014085,0.0496174389930506
RSE7359,RSE1607,706,1853.5200000000136,123817.0,175.37818696883852,38.047331400373416
RSE7104,RSE8103,639,0.9060926690415937,138740.0,217.12050078247262,0.015023609455551982
RSE7104,RSE7105,632,444.79000000000104,38254.0,60.528481012658226,26.45438929262306
RSE1607,RSE7359,632,1868.1999999999778,127671.0,202.0110759493671,33.292827971896116
RSE1503,RSE1505,573,1.5249667081752976,95765.0,167.12914485165794,0.03284813163080462
RSE7056,RSE7105,559,1041.4600000000046,73815.0,132.04830053667263,28.393065149360012
RSE1513,RSE1607,486,2.645754819964327,125931.0,259.11728395061726,0.036758325059036985
RSE1607,RSE1513,451,2.6457548199643215,128510.0,284.94456762749445,0.03342656233518071
RSE7104,RSE7157,437,757.3699999999966,57725.0,132.0938215102975,20.64087456041567
RSE7105,RSE7104,434,447.0199999999975,30244.0,69.68663594470046,23.092978706520174
RSE1513,RSE7359,423,904.25,78144.0,184.73758865248226,17.621210841523343
RSE1505,RSE1503,410,1.5249667081753082,72312.0,176.37073170731708,0.03112693413633636
RSE7157,RSE7104,381,762.0300000000017,38903.0,102.10761154855643,26.8668315554071
RSE8103,RSE7104,355,0.9060926690415896,65250.0,183.80281690140845,0.01774691848329734
RSE1512,RSE1513,340,464.279999999999,51777.0,152.28529411764706,10.975504953937053
RSE1505,RSE1504,330,709.75,40552.0,122.88484848484849,20.792636614716905
RSE1508,RSE7359,293,1.084243558046222,30261.0,103.27986348122867,0.03779320263795496
RSE1504,RSE1505,275,709.5799999999969,39151.0,142.36727272727273,17.942943986105
RSE7359,RSE1513,250,904.0499999999963,86651.0,346.604,9.389908945078496
RSE1504,RSE1503,226,814.720000000001,51453.0,227.66814159292036,12.882751093230732
RSE1513,RSE1512,219,464.35000000000144,32825.0,149.88584474885846,11.152887738004603
RSE1503,RSE1504,212,817.5499999999987,42047.0,198.33490566037736,14.83944538254808
RSE8102,RSE8103,170,1195.9200000000035,38984.0,229.31764705882352,18.774446952595994
RSE1505,RSE7104,159,1.161299862565526,36166.0,227.45911949685535,0.01837991597999522
RSE1515,RSE1519,122,0.9451612241436435,15724.0,128.88524590163934,0.02640007692978175
RSE8103,RSE8102,122,634.6600000000019,34480.0,282.62295081967216,8.084184222737843
RSE7157,RSE1505,109,0.3953597095755676,13577.0,124.55963302752293,0.011426614866130422
RSE1511,RSE1505,109,1.0267198619547875,15248.0,139.88990825688074,0.026422145450620316
RSE1607,RSE1511,91,1.792761827417022,20566.0,226.0,0.028557268047350794
RSE8103,RSE7105,83,1452.1799999999969,30854.0,371.73493975903614,14.063375380825795
RSE7104,RSE1505,65,1.161299862565523,17677.0,271.95384615384614,0.01537275373877538
RSE7359,RSE1517,64,1.213978033180211,13499.0,210.921875,0.020720093254664836
RSE1505,RSE7157,61,0.3953597095755681,16883.0,276.7704918032787,0.005142509756725391
RSE7359,RSE1508,41,1.0842435580462246,5825.0,142.0731707317073,0.02747370801160906
RSE1515,RSE1607,36,2.002759946875315,7412.0,205.88888888888889,0.03501857651309239
RSE8102,RSE7105,36,1.737887614236684,20852.0,579.2222222222222,0.010801373240220326
RSE1505,RSE1501,34,810.0499999999996,14656.0,431.05882352941177,6.765155567685587
RSE1508,RSE8103,32,1.1430386948464981,9055.0,282.96875,0.014542027349123863
RSE1517,RSE7359,31,1.2139780331802108,3078.0,99.29032258064517,0.04401557781121232
RSE8103,RSE1508,31,1.1430386948464981,3289.0,106.09677419354838,0.03878477298414996
RSE1501,RSE1504,29,847.91,11858.0,408.8965517241379,7.4651546635183
RSE7067,RSE7104,28,1.9929497035271047,4042.0,144.35714285714286,0.04970047751497579
RSE8099,RSE1501,26,0.585572752279568,2118.0,81.46153846153847,0.02587800265031518
RSE1504,RSE1508,26,1400.7400000000005,15102.0,580.8461538461538,8.681582836710373
RSE1504,RSE1501,24,855.1800000000002,4580.0,190.83333333333334,16.132653275109174
RSE1504,RSE1512,24,1.8933353274384697,7333.0,305.5416666666667,0.022307946582665182
RSE1513,RSE1515,23,1.1085589411870058,5223.0,227.08695652173913,0.017573938412843975
RSE7359,RSE1512,22,1.32021087643184,8115.0,368.8636363636364,0.012884867703438291
RSE1607,RSE1512,21,3.130569956034469,8042.0,382.95238095238096,0.02942938182991866
RSE1501,RSE7157,21,0.6198305972150246,1583.0,75.38095238095238,0.029601511781083934
RSE7105,RSE8103,21,1.2824175528552,12188.0,580.3809523809524,0.007954608384956771
RSE8099,RSE1504,21,0.6834419030988426,5805.0,276.42857142857144,0.008900638738031439
