start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE8102,RSE8102,1852,0.0,2280266.0,1231.245140388769,
RSE1515,RSE7359,1683,725.7099999999826,142237.0,84.51396316102199,30.91271432890102
RSE7196,RSE1607,1394,316.8800000000038,251169.0,180.17862266857964,6.331317129104384
RSE8103,RSE1501,1341,296.6461925189361,373878.0,278.80536912751677,3.8303648757199302
RSE1517,RSE1515,1331,526.849999999987,234917.0,176.49661908339596,10.746154854693092
RSE7157,RSE8103,1261,279.1799999999944,165475.0,131.2252180808882,7.658954694062392
RSE1519,RSE1517,1241,376.9500000000078,74644.0,60.148267526188555,22.56124832538496
RSE7359,RSE1515,1238,724.2299999999882,239766.0,193.67205169628434,13.462076624708871
RSE1501,RSE8102,1165,350.01000000000556,902235.0,774.450643776824,1.62700620126688
RSE7359,RSE1511,1131,846.689999999976,316650.0,279.973474801061,10.887045646612671
RSE7056,RSE7056,1120,0.0,683299.0,610.0883928571428,
RSE1501,RSE8103,1068,286.73999999999563,376871.0,352.87546816479403,2.9252926120608462
RSE7056,RSE7104,1028,1452.417275193376,175713.0,170.9270428015564,30.59025713541768
RSE8102,RSE1501,1020,302.0594378910216,161928.0,158.75294117647059,6.849724914380659
RSE7067,RSE7056,1011,515.4199999999947,62740.0,62.05736894164194,29.899946318138042
RSE8103,RSE8103,1002,0.0,1894230.0,1890.4491017964071,
RSE7105,RSE7056,926,1042.81999999998,108193.0,116.83909287257019,32.13095812113476
RSE8099,RSE8102,888,234.95000000000306,419347.0,472.2376126126126,1.791089861141274
RSE8103,RSE7157,886,278.57000000000505,102941.0,116.186230248307,8.631418696146493
RSE1515,RSE1517,877,526.6300000000037,172978.0,197.23831242873433,9.61206763865932
RSE1504,RSE8102,841,616.6300000000039,272471.0,323.9845422116528,6.851771337133169
RSE7192,RSE7157,826,684.812799014497,183229.0,221.8268765133172,11.113739305183723
RSE1505,RSE8103,807,369.07999999999697,150034.0,185.91573729863694,7.146721516456211
RSE1505,RSE1508,781,726.409999999992,142168.0,182.03329065300898,14.365921698272308
RSE7192,RSE1505,736,1077.0239780339157,228323.0,310.2214673913044,12.498446202085042
RSE1511,RSE1508,691,300.1000000000036,116070.0,167.9739507959479,6.431711553373042
RSE1508,RSE1505,689,729.0700000000061,335967.0,487.61538461538464,5.382627543776666
RSE1511,RSE7359,689,855.7299999999917,132632.0,192.49927431059507,16.003322667229476
RSE1607,RSE7196,674,320.8800000000029,151390.0,224.61424332344214,5.14289736442306
RSE8103,RSE1505,657,375.3853000840677,81616.0,124.22526636225267,10.878520287184337
RSE7108,RSE7192,655,0.0,0.0,0.0,
RSE7359,RSE1607,616,1853.520000000013,286109.0,464.4626623376623,14.366433603976208
RSE8102,RSE1504,600,554.2874497583254,490992.0,818.32,2.438452951327074
RSE7104,RSE7056,598,1452.4172751933734,109573.0,183.23244147157192,28.535897621095472
RSE7056,RSE7067,597,513.4200000000025,261080.0,437.31993299832493,4.226452673510056
RSE7196,RSE7196,593,0.0,688915.0,1161.7453625632377,
RSE8102,RSE8099,592,235.0899999999974,578227.0,976.7347972972973,0.8664829003142268
RSE1607,RSE7359,581,1868.1999999999798,260291.0,448.0051635111876,15.012148403133255
RSE1513,RSE1607,506,2645.753892662913,490231.0,968.8359683794466,9.83109042650253
RSE7104,RSE7105,505,444.7900000000017,47743.0,94.54059405940595,16.937105334813545
RSE1511,RSE7104,491,1977.7714081619336,228415.0,465.20366598778,15.305075152976093
RSE7104,RSE7157,487,757.3699999999964,113410.0,232.8747433264887,11.708148170355292
RSE7157,RSE7104,476,762.0300000000069,208506.0,438.0378151260504,6.262719576415123
RSE1523,RSE1519,467,0.0,0.0,0.0,
RSE1517,RSE1519,462,373.85000000000315,62294.0,134.83549783549785,9.98149613124868
RSE1503,RSE1505,460,1524.9629413368052,211855.0,460.55434782608694,11.92012759129475
RSE1508,RSE1511,438,298.7899999999972,75431.0,172.21689497716895,6.245868038339616
RSE7194,RSE7196,417,0.0,0.0,0.0,
RSE1607,RSE1513,403,2645.7538926629077,409710.0,1016.6501240694789,9.368723603220197
RSE7105,RSE7105,390,0.0,506858.0,1299.6358974358975,
RSE1502,RSE1503,377,0.0,0.0,0.0,
RSE8098,RSE8099,368,0.0,0.0,0.0,
RSE1507,RSE1504,363,0.0,0.0,0.0,
RSE7060,RSE7056,346,0.0,0.0,0.0,
RSE7203,RSE7196,341,0.0,0.0,0.0,
RSE7105,RSE7104,341,447.0199999999997,175197.0,513.7741935483871,3.1322554153324527
RSE8050,RSE7105,339,0.0,0.0,0.0,
RSE7104,RSE1511,338,1977.77140816192,145609.0,430.79585798816566,16.527496579548135
RSE1505,RSE1504,330,709.75,187873.0,569.3121212121212,4.48804777695571
RSE7056,RSE7105,327,1041.4600000000028,130623.0,399.45871559633025,9.385841023403255
RSE1508,RSE7359,306,1084.243871539114,49431.0,161.5392156862745,24.163036331198803
RSE1513,RSE7359,300,904.25,504584.0,1681.9466666666667,1.935435923453776
RSE1512,RSE1513,296,464.279999999999,328677.0,1110.3952702702702,1.5052369590814052
RSE1513,RSE1513,288,0.0,1483975.0,5152.690972222223,
RSE1504,RSE1505,282,709.5799999999966,595690.0,2112.375886524823,1.209296137252592
RSE8102,RSE8103,259,1195.9200000000023,742258.0,2865.861003861004,1.5022752304454814
RSE1505,RSE1503,256,1524.9629413368132,99987.0,390.57421875,14.055885732505295
RSE1503,RSE1504,253,817.549999999997,342465.0,1353.6166007905138,2.174308440278561
RSE8507,RSE8102,247,0.0,0.0,0.0,
RSE7104,RSE7104,240,0.0,552634.0,2302.641666666667,
RSE7359,RSE1513,221,904.0499999999973,319244.0,1444.5429864253394,2.2530170653168042
RSE7401,RSE7067,204,0.0,0.0,0.0,
RSE7104,RSE8103,203,906.0916033158505,29428.0,144.9655172413793,22.501418502896005
RSE1515,RSE1515,201,0.0,1440719.0,7167.756218905472,
RSE1504,RSE1504,199,0.0,993273.0,4991.321608040201,
RSE1607,RSE1607,198,0.0,1201385.0,6067.60101010101,
RSE7192,RSE7104,186,316.21143230894285,208101.0,1118.8225806451612,1.0174635156682004
RSE1602,RSE1513,180,0.0,0.0,0.0,
RSE7192,RSE7192,178,0.0,91866.0,516.1011235955057,
RSE1513,RSE1512,164,464.34999999999997,278386.0,1697.4756097560976,0.9847917639536471
RSE7106,RSE7105,156,0.0,0.0,0.0,
RSE1504,RSE1503,156,814.7200000000009,175432.0,1124.5641025641025,2.60811455150714
RSE7267,RSE7196,148,0.0,0.0,0.0,
RSE7157,RSE7157,137,0.0,331795.0,2421.8613138686133,
RSE8103,RSE8102,135,634.6600000000021,489089.0,3622.8814814814814,0.6306515991976942
RSE1607,RSE1511,128,1792.7633401169426,29335.0,229.1796875,28.16108222689235
RSE8103,RSE7104,127,906.0916033158533,45029.0,354.5590551181102,9.199961825401589
RSE1511,RSE1505,126,1026.71998780522,38650.0,306.74603174603175,12.049681409274198
RSE1524,RSE1511,104,0.0,0.0,0.0,
RSE1503,RSE1503,103,0.0,581619.0,5646.78640776699,
RSE7357,RSE1519,101,0.0,0.0,0.0,
RSE8069,RSE7067,99,0.0,0.0,0.0,
RSE7068,RSE7067,96,0.0,0.0,0.0,
RSE8099,RSE8099,94,0.0,438884.0,4668.978723404255,
RSE8103,RSE7105,93,1452.1799999999964,418600.0,4501.075268817204,1.1614664691829881
RSE1516,RSE1515,91,0.0,0.0,0.0,
RSE8507,RSE7105,91,0.0,0.0,0.0,
RSE7510,RSE1607,88,0.0,0.0,0.0,
RSE7359,RSE7359,84,0.0,577003.0,6869.083333333333,
RSE7359,RSE1517,78,1213.977761118372,14734.0,188.89743589743588,23.135941042625145
RSE1501,RSE1501,78,0.0,503028.0,6449.076923076923,
RSE1507,RSE1512,77,0.0,0.0,0.0,
RSE7059,RSE7056,74,0.0,0.0,0.0,
RSE8053,RSE7056,72,0.0,0.0,0.0,
RSE7195,RSE7196,70,0.0,0.0,0.0,
RSE1505,RSE7157,69,395.3622093557505,100593.0,1457.8695652173913,0.976290326404108
RSE1505,RSE1505,66,0.0,345679.0,5237.560606060606,
RSE7067,RSE7067,64,0.0,127353.0,1989.890625,
RSE8050,RSE8102,63,0.0,0.0,0.0,
RSE8102,RSE7105,62,1737.8876725932598,356375.0,5747.9838709677415,1.0884504483277886
RSE1511,RSE1511,59,0.0,380513.0,6449.372881355932,
RSE7104,RSE7359,58,2788.3879517022315,18051.0,311.2241379310345,32.2539141496552
RSE9999,RSE7067,58,0.0,0.0,0.0,
RSE1505,RSE7104,55,1161.304348275989,56100.0,1020.0,4.098721229209373
RSE8100,RSE8102,55,0.0,0.0,0.0,
RSE1515,RSE1519,52,945.1612244536374,5429.0,104.40384615384616,32.5905657059718
RSE7157,RSE1505,52,395.3622093557508,119970.0,2307.1153846153848,0.6169192764140747
RSE8100,RSE8099,52,0.0,0.0,0.0,
RSE8524,RSE1503,50,0.0,0.0,0.0,
RSE1512,RSE1512,50,0.0,417926.0,8358.52,
RSE1517,RSE1517,49,0.0,316893.0,6467.2040816326535,
RSE1508,RSE1508,46,0.0,358395.0,7791.195652173913,
RSE8066,RSE7105,45,0.0,0.0,0.0,
RSE7511,RSE7056,44,0.0,0.0,0.0,
RSE8050,RSE8103,43,0.0,0.0,0.0,
RSE1602,RSE1512,40,0.0,0.0,0.0,
RSE8055,RSE7056,40,0.0,0.0,0.0,
RSE1501,RSE1505,39,802.6100000000004,103100.0,2643.5897435897436,1.0929819980601363
RSE8100,RSE1504,38,0.0,0.0,0.0,
RSE1518,RSE1519,33,0.0,0.0,0.0,
RSE1505,RSE1501,32,810.0499999999996,129718.0,4053.6875,0.7193894447956333
RSE1516,RSE1517,32,0.0,0.0,0.0,
RSE1520,RSE1513,32,0.0,0.0,0.0,
RSE1510,RSE1511,32,0.0,0.0,0.0,
RSE7359,RSE1508,31,1084.243871539111,9508.0,306.7096774193548,12.72629533695465
RSE1511,RSE7157,31,1268.2300014023904,89813.0,2897.1935483870966,1.5758795292052017
RSE1509,RSE1513,31,0.0,0.0,0.0,
RSE7062,RSE7056,30,0.0,0.0,0.0,
RSE1510,RSE1513,30,0.0,0.0,0.0,
RSE1507,RSE1508,30,0.0,0.0,0.0,
RSE1501,RSE1504,30,847.91,84772.0,2825.733333333333,1.0802420610578964
RSE7104,RSE1505,29,1161.3043482759886,29128.0,1004.4137931034483,4.162324016754092
RSE1504,RSE1512,29,1893.33670178464,4831.0,166.58620689655172,40.91582522589866
RSE7058,RSE7067,29,0.0,0.0,0.0,
RSE1524,RSE7359,28,0.0,0.0,0.0,
RSE1513,RSE1515,28,1108.5582248266064,8552.0,305.42857142857144,13.066261583550272
RSE7108,RSE7157,28,0.0,0.0,0.0,
RSE8507,RSE8103,28,0.0,0.0,0.0,
RSE1507,RSE1513,27,0.0,0.0,0.0,
RSE7108,RSE7104,27,0.0,0.0,0.0,
RSE7106,RSE7056,27,0.0,0.0,0.0,
RSE7359,RSE7196,26,2178.859589712803,23257.0,894.5,8.769026856306418
RSE1517,RSE7359,25,1213.9777611183736,3436.0,137.44,31.798020518234466
RSE8099,RSE1504,25,683.44194696142,61116.0,2444.64,1.0064430791695758
RSE1513,RSE7196,25,3005.1206362490625,22579.0,903.16,11.9784249640115
RSE1505,RSE8102,25,745.0728242145975,103097.0,4123.88,0.6504219732806364
RSE7105,RSE8103,25,1282.4137484391397,131074.0,5242.96,0.8805502033929122
RSE8098,RSE8102,24,0.0,0.0,0.0,
RSE7108,RSE1505,23,0.0,0.0,0.0,
RSE1506,RSE1503,23,0.0,0.0,0.0,
RSE8506,RSE8102,22,0.0,0.0,0.0,
RSE7192,RSE8103,21,918.7075810745812,2824.0,134.47619047619048,24.594296433866266
RSE1505,RSE7192,21,1077.0239780339048,19383.0,923.0,4.20074357629692
RSE1523,RSE1517,21,0.0,0.0,0.0,
RSE1508,RSE1504,21,1403.32,119594.0,5694.952380952381,0.8870929310834992
RSE1507,RSE1505,19,0.0,0.0,0.0,
RSE1519,RSE1515,19,945.1612244536375,11430.0,601.578947368421,5.656082917990272
RSE9038,RSE7067,19,0.0,0.0,0.0,
RSE7208,RSE7196,19,0.0,0.0,0.0,
RSE1508,RSE8103,18,1143.0391043018021,3271.0,181.72222222222223,22.64412533132277
RSE1519,RSE1519,17,0.0,113930.0,6701.764705882353,
RSE7157,RSE1501,17,619.8282521808471,11408.0,671.0588235294117,3.3251655884877147
RSE1524,RSE1508,16,0.0,0.0,0.0,
RSE7359,RSE1519,16,1636.5938685099218,39445.0,2465.3125,2.3898544004606794
RSE1509,RSE1512,16,0.0,0.0,0.0,
RSE8103,RSE1503,16,1612.4013182026717,6843.0,427.6875,13.572163660452125
RSE1504,RSE1508,16,1400.7400000000005,56473.0,3529.5625,1.4286937828696904
RSE7108,RSE8103,15,0.0,0.0,0.0,
RSE8103,RSE1504,15,800.3575902220396,28775.0,1918.3333333333333,1.5019742787833237
RSE9402,RSE7067,15,0.0,0.0,0.0,
RSE7104,RSE7192,15,333.64,41186.0,2745.733333333333,0.437443791579663
RSE8053,RSE8103,15,0.0,0.0,0.0,
RSE1501,RSE7105,14,1479.5000263760435,86772.0,6198.0,0.8593417384565596
RSE1504,RSE1501,14,855.1800000000002,65230.0,4659.285714285715,0.6607553579641271
RSE8103,RSE1508,14,1143.0391043018021,1334.0,95.28571428571429,43.18528549985819
RSE7105,RSE8102,14,1737.887672593257,37804.0,2700.285714285714,2.3169383847926186
