start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE7359,RSE1515,10502,724.230000000191,1435230.0,136.6625404684822,19.07785404151754
RSE1515,RSE7359,9581,725.7099999999663,655969.0,68.46560901784783,38.15866151601499
RSE1607,RSE7196,9451,320.8799999999284,1388185.0,146.8823404930695,7.864580562387264
RSE1501,RSE8102,9383,350.0099999999247,1181619.0,125.93189811360972,10.00569370329815
RSE7196,RSE1607,8815,316.87999999993184,674085.0,76.47022121384005,14.917806982795696
RSE1505,RSE1508,8233,726.4100000000839,859044.0,104.34155228956638,25.062651864168174
RSE1517,RSE1515,8032,526.8500000000619,544510.0,67.7925796812749,27.977398247969347
RSE1519,RSE1517,8030,376.95000000003444,465162.0,57.928019925280196,23.425969017247745
RSE7067,RSE7056,7420,515.419999999951,724892.0,97.69433962264151,18.993034879676824
RSE1517,RSE1519,6966,373.850000000049,346762.0,49.77921332184898,27.036586361830967
RSE8103,RSE1501,6962,296.64619251897943,381783.0,54.838121229531744,19.47415901792821
RSE1515,RSE1517,6950,526.6299999999214,566729.0,81.54374100719424,23.249705944107387
RSE7056,RSE7104,6944,1452.417275193352,902428.0,129.95794930875576,40.233800383181254
RSE1505,RSE8103,6562,369.08000000003426,753059.0,114.76059128314539,11.57791176521469
RSE1504,RSE8102,6556,616.6299999999184,1065672.0,162.54911531421598,13.656598473074336
RSE1501,RSE8103,6408,286.73999999999154,397112.0,61.97128589263421,16.657133785933954
RSE7359,RSE1511,6352,846.6900000000524,637492.0,100.36083123425692,30.371251040014933
RSE7157,RSE8103,6147,279.17999999998847,614803.0,100.0167561412071,10.048796209517104
RSE1508,RSE1511,6127,298.79000000002395,259554.0,42.36233066753713,25.391520793362954
RSE8099,RSE8102,6084,234.94999999997353,702949.0,115.5405982905983,7.32054370942902
RSE8103,RSE1505,6029,375.3853000840299,467803.0,77.59213799966827,17.416546510269963
RSE8103,RSE7157,5914,278.5700000000093,395748.0,66.91714575583362,14.98647302829123
RSE1511,RSE1508,5765,300.10000000002674,247315.0,42.89939288811795,25.183573175911512
RSE1511,RSE7359,5741,855.7300000000507,490984.0,85.5223828601289,36.02130690206004
RSE7105,RSE7056,5688,1042.8200000000356,670430.0,117.86744022503517,31.850628068554105
RSE8102,RSE1504,5276,554.2874497583642,719951.0,136.45773313115998,14.623098107691309
RSE7192,RSE1505,5156,1077.023978033968,710772.0,137.8533747090768,28.126161794042677
RSE8102,RSE1501,5101,302.05943789100655,346128.0,67.85493040580279,16.02557057982968
RSE1508,RSE1505,5068,729.0699999999396,652008.0,128.65193370165747,20.401185776859943
RSE7056,RSE7067,4838,513.4199999999647,344354.0,71.1769326167838,25.96785126933152
RSE8102,RSE8099,4322,235.08999999999006,459276.0,106.26469227209626,7.964301047735665
RSE7104,RSE8103,4207,906.0916033158934,890820.0,211.74708818635608,15.404838856940646
RSE1607,RSE7359,3822,1868.200000000122,924754.0,241.9555206698064,27.796513926948872
RSE7359,RSE1607,3672,1853.5199999998388,700126.0,190.6661220043573,34.99663144062336
RSE7192,RSE7157,3652,684.8127990144696,301156.0,82.46330777656078,29.89603670922391
RSE7104,RSE7056,3619,1452.4172751932392,418319.0,115.58966565349544,45.235031705773814
RSE1513,RSE1607,3385,2645.7538926628727,850560.0,251.27326440177254,37.90579963317081
