start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE7359,RSE1515,2639,724.2299999999846,602797.0,228.41871921182266,11.414248398714415
RSE7056,RSE7104,2428,1452.417275193284,517885.0,213.29695222405272,24.51372200200712
RSE7056,RSE7056,2264,0.0,1369103.0,604.7274734982332,
RSE8102,RSE8102,2218,0.0,4260592.0,1920.9161406672679,
RSE7196,RSE1607,2134,316.88000000000403,427878.0,200.50515463917526,5.6894696899584245
RSE1515,RSE7359,2065,725.709999999979,151408.0,73.32106537530267,35.63172447955091
RSE8103,RSE1501,2023,296.6461925189434,1236166.0,611.0558576371725,1.74767376782484
RSE7067,RSE7056,2012,515.420000000018,467488.0,232.34990059642146,7.985852351290579
RSE1511,RSE7359,1924,855.7299999999851,951281.0,494.4287941787942,6.230680810401866
RSE7157,RSE8103,1896,279.1799999999945,288006.0,151.90189873417722,6.616428157746583
RSE1519,RSE1517,1753,376.94999999999686,187664.0,107.0530519110097,12.676144918577778
RSE1517,RSE1515,1745,526.8499999999846,355730.0,203.8567335243553,9.3038869367214
RSE1505,RSE1508,1734,726.4099999999949,235615.0,135.87946943483274,19.2455564543852
RSE1501,RSE8102,1726,350.01000000000676,1794981.0,1039.965816917729,1.2116129006379688
RSE1515,RSE1517,1700,526.6300000000042,362086.0,212.99176470588236,8.901132880034096
RSE7192,RSE1505,1514,1077.0239780338752,332764.0,219.79128137384413,17.64076489606999
RSE7359,RSE1511,1499,846.6899999999682,342771.0,228.66644429619745,13.329826373875937
RSE7196,RSE7196,1485,0.0,1266283.0,852.7158249158249,
RSE1501,RSE8103,1455,286.7399999999943,983797.0,676.1491408934708,1.5266809311270215
RSE8103,RSE1505,1398,375.3853000840718,275558.0,197.10872675250357,6.856048956165732
RSE8102,RSE1501,1396,302.05943789101656,420639.0,301.31733524355303,3.6088662988098887
RSE8103,RSE8103,1332,0.0,4334548.0,3254.165165165165,
RSE1607,RSE7196,1324,320.88000000000375,571396.0,431.5679758308157,2.676676826579146
RSE1508,RSE1511,1245,298.7899999999957,226973.0,182.30763052208835,5.900158961638525
RSE8103,RSE7157,1226,278.57000000000556,104996.0,85.64110929853182,11.709937064269347
RSE7105,RSE7056,1182,1042.8199999999906,124347.0,105.2005076142132,35.685683321672094
RSE7104,RSE7157,1110,757.3699999999959,262121.0,236.14504504504504,11.54600554705645
RSE1607,RSE7359,1069,1868.1999999999678,744184.0,696.1496725912067,9.661025875320991
RSE1513,RSE1607,1038,2645.753892662924,756225.0,728.5404624277456,13.073692546666424
RSE7108,RSE7192,1034,0.0,0.0,0.0,
RSE8102,RSE1504,993,554.2874497583281,633792.0,638.2598187311178,3.1263676022986586
RSE7192,RSE7157,969,684.8127990144976,206285.0,212.8844169246646,11.580584958102497
RSE8099,RSE8102,960,234.9500000000037,803923.0,837.4197916666667,1.0100310601886162
RSE7104,RSE1511,915,1977.7714081618983,572045.0,625.1857923497267,11.388577853989272
RSE1505,RSE8103,903,369.079999999999,357859.0,396.3001107419712,3.3527318413117926
RSE1517,RSE1519,896,373.84999999999815,87075.0,97.18191964285714,13.84887235142112
RSE7194,RSE7196,894,0.0,0.0,0.0,
RSE1504,RSE8102,888,616.6300000000039,451278.0,508.19594594594594,4.368134019384974
RSE1511,RSE1508,872,300.10000000000406,109194.0,125.22247706422019,8.627524589263263
RSE1503,RSE1505,818,1524.9629413368193,350040.0,427.92176039119806,12.829136297705022
RSE7056,RSE7067,778,513.419999999998,153841.0,197.73907455012852,9.347226916101654
RSE7359,RSE1607,768,1853.520000000014,269908.0,351.4427083333333,18.986514278939637
RSE1523,RSE1519,752,0.0,0.0,0.0,
RSE1508,RSE1505,751,729.0700000000037,419440.0,558.508655126498,4.699393600991822
RSE7104,RSE7056,706,1452.4172751933745,454368.0,643.5807365439093,8.1243920052281
RSE1502,RSE1503,670,0.0,0.0,0.0,
RSE1513,RSE7359,659,904.25,795940.0,1207.7996965098635,2.695231675754454
RSE7056,RSE7105,656,1041.4599999999984,302339.0,460.8826219512195,8.134947644862212
RSE7104,RSE7105,632,444.79000000000104,152877.0,241.89398734177215,6.619610588904822
