start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE1515,RSE7359,3407,798.2575305999783,274171.0,80.47285001467567,35.710517393578655
RSE1517,RSE1515,2495,572.0686682000004,172870.0,69.28657314629258,29.723611834166736
RSE1504,RSE8102,2479,558.2040792000271,345738.0,139.46672045179508,14.40870394464225
RSE7056,RSE7067,2424,2459.3927119998925,159031.0,65.60684818481849,134.9525851060225
RSE7359,RSE1511,2297,904.4252613000425,372605.0,162.21375707444494,20.0718545664774
RSE1607,RSE7196,2216,367.1998745000103,450999.0,203.51940433212997,6.495299809558961
RSE7105,RSE7056,2183,1121.964709000007,480828.0,220.26019239578562,18.33773460590742
RSE1508,RSE1505,2153,748.4863772999964,328720.0,152.67998142127263,17.64835791304701
RSE1511,RSE1508,2066,321.4686946000008,147539.0,71.41287512100678,16.205583357329015
RSE1519,RSE1517,2050,410.02120349998813,206147.0,100.55951219512195,14.678634575472417
RSE1505,RSE8103,1928,441.9941431999923,216234.0,112.1545643153527,14.187375478058522
RSE7104,RSE7056,1769,1689.6092650000553,448135.0,253.32673827020915,24.010862001910926
RSE7196,RSE1607,1660,367.1998744999985,108246.0,65.20843373493976,20.27221744925439
RSE7359,RSE1515,1435,798.2575305999851,180413.0,125.72334494773519,22.857545759338425
RSE7104,RSE7105,1422,442.86757959999807,99699.0,70.11181434599156,22.739723703229824
RSE8103,RSE7157,1409,374.9316811999927,105203.0,74.66501064584811,18.077464138083926
RSE1517,RSE1519,1314,410.0212034999894,64489.0,49.07838660578387,30.075893579313526
RSE7359,RSE1607,1140,1061.1318609999944,356132.0,312.3964912280702,12.228289391416599
RSE1515,RSE1517,1139,572.0686682000063,92695.0,81.38279192273924,25.305683878173642
RSE1501,RSE8103,1131,355.122992700006,62065.0,54.876215738284706,23.29684648477152
RSE7157,RSE8103,1066,374.9316811999933,77448.0,72.65290806754221,18.57811460299936
RSE1503,RSE1505,1031,1396.3048700000247,220147.0,213.52764306498545,23.54120272132753
RSE7067,RSE7056,1003,2459.3927119999867,54609.0,54.445663010967095,162.61742944367327
RSE1501,RSE8102,930,503.9284857999921,83218.0,89.48172043010753,20.273889909134724
RSE8102,RSE8099,916,992.6922661999957,73778.0,80.54366812227074,44.369622611362544
