start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE7359,RSE1515,2639,798.2575306000207,602797.0,228.41871921182266,12.58096149070489
RSE7056,RSE7104,2428,1689.6092650000658,517885.0,213.29695222405272,28.51701953814568
RSE7056,RSE7056,2264,0.0,0.0,0.0,
RSE8102,RSE8102,2218,0.0,0.0,0.0,
RSE7196,RSE1607,2134,367.19987450000895,427878.0,200.50515463917526,6.592945456085307
RSE1515,RSE7359,2065,798.2575306000095,151408.0,73.32106537530267,39.19374460055262
RSE8103,RSE1501,2023,355.12299269999824,1236166.0,611.0558576371725,2.0921864306537694
RSE7067,RSE7056,2012,2459.392711999906,467488.0,232.34990059642146,38.10551990972543
RSE1511,RSE7359,1924,904.4252613000397,951281.0,494.4287941787942,6.585237306188807
RSE7157,RSE8103,1896,374.9316812000066,288006.0,151.90189873417722,8.885695725779204
RSE1519,RSE1517,1753,410.02120349998853,187664.0,107.0530519110097,13.78826951918177
RSE1517,RSE1515,1745,572.0686682000222,355730.0,203.8567335243553,10.10242423645051
RSE1505,RSE1508,1734,748.4863772999965,235615.0,135.87946943483274,19.83044951152303
RSE1501,RSE8102,1726,503.92848580001345,1794981.0,1039.965816917729,1.7444251718357817
RSE1515,RSE1517,1700,572.0686682000214,362086.0,212.99176470588236,9.669140064471234
RSE7192,RSE1505,1514,1185.6597680000111,332764.0,219.79128137384413,19.420129579844154
RSE7359,RSE1511,1499,904.4252613000347,342771.0,228.66644429619745,14.23877889342887
RSE7196,RSE7196,1485,0.0,0.0,0.0,
RSE1501,RSE8103,1455,355.12299270001006,983797.0,676.1491408934708,1.8907703883653362
RSE8103,RSE1505,1398,441.994143199993,275558.0,197.10872675250357,8.07259496692865
RSE8102,RSE1501,1396,503.9284858000056,420639.0,301.31733524355303,6.020704210110114
RSE8103,RSE8103,1332,0.0,0.0,0.0,
RSE1607,RSE7196,1324,367.1998744999911,571396.0,431.5679758308157,3.063062187724026
RSE1508,RSE1511,1245,321.4686945999904,226973.0,182.30763052208835,6.347991563741753
RSE8103,RSE7157,1226,374.9316811999927,104996.0,85.64110929853182,15.760585814167088
RSE7105,RSE7056,1182,1121.964708999982,124347.0,105.2005076142132,38.39404432544994
RSE7104,RSE7157,1110,,262121.0,236.14504504504504,
RSE1607,RSE7359,1069,1061.131860999988,744184.0,696.1496725912067,5.487433019081779
RSE1513,RSE1607,1038,1405.7928530000256,756225.0,728.5404624277456,6.946565814526756
RSE7108,RSE7192,1034,0.0,0.0,0.0,
RSE8102,RSE1504,993,558.2040791999957,633792.0,638.2598187311178,3.1484587093622904
RSE7192,RSE7157,969,837.4935463999888,206285.0,212.8844169246646,14.162505694848006
RSE8099,RSE8102,960,992.6922661999946,803923.0,837.4197916666667,4.2675038181357925
