start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE8102,RSE8102,3865,0.0,0.0,0.0,
RSE1515,RSE7359,3590,798.2575305999708,340344.0,94.8033426183844,30.312508301818223
RSE7196,RSE1607,2893,367.1998745000185,492679.0,170.30038022813687,7.762281836536148
RSE7359,RSE1515,2891,798.2575306000042,788322.0,272.68142511241786,10.538771054813393
RSE1517,RSE1515,2830,572.0686681999928,684911.0,242.01802120141343,8.509478737560832
RSE1519,RSE1517,2644,410.0212034999876,336796.0,127.38124054462935,11.587862751915944
RSE8103,RSE1501,2621,355.12299269999085,906028.0,345.68027470431133,3.6983388040105094
RSE7359,RSE1511,2477,904.4252613000434,545713.0,220.31207105369398,14.77872240548557
RSE7056,RSE7056,2462,0.0,0.0,0.0,
RSE7157,RSE8103,2354,374.9316812000145,291859.0,123.98428207306712,10.886493269563053
RSE1501,RSE8102,2348,503.9284858000222,2075675.0,884.0183134582624,2.052154939848689
RSE8102,RSE1501,2145,503.92848580001987,376298.0,175.43030303030304,10.341101380681677
RSE1511,RSE7359,2036,904.4252613000406,440875.0,216.53978388998036,15.03617895145966
RSE7056,RSE7104,2028,1689.6092650000603,406570.0,200.4783037475345,30.340407117870082
RSE1501,RSE8103,2006,355.1229926999985,769908.0,383.80259222333,3.3309904613048693
RSE7067,RSE7056,1991,2459.392711999907,223744.0,112.37769964841787,78.78621640147014
RSE1515,RSE1517,1939,572.0686682000189,603737.0,311.3651366683858,6.614251125081636
RSE7105,RSE7056,1902,1121.964708999979,311746.0,163.9043112513144,24.64287193890108
RSE8103,RSE8103,1895,0.0,0.0,0.0,
RSE1504,RSE8102,1712,558.2040792000176,318344.0,185.94859813084113,10.80693646158102
RSE8099,RSE8102,1698,992.6922661999841,684655.0,403.2126030624264,8.863046767827976
RSE1505,RSE1508,1667,748.4863772999965,244518.0,146.68146370725856,18.370085013997905
RSE8103,RSE7157,1629,374.9316812,134733.0,82.70902394106814,16.319308196427603
RSE1607,RSE7196,1607,367.19987449999695,498839.0,310.41630367143745,4.258537752576247
RSE1505,RSE8103,1600,441.99414319999266,264196.0,165.1225,9.63635431585625
RSE7192,RSE7157,1554,837.4935463999878,270299.0,173.93758043758044,17.33367084591542
RSE7192,RSE1505,1474,1185.6597680000111,253719.0,172.12957937584804,24.797453059941347
RSE1511,RSE1508,1365,321.46869459999,406944.0,298.12747252747255,3.8818539289542318
RSE8103,RSE1505,1359,441.99414319999306,254431.0,187.21927888153053,8.499012094405344
RSE7359,RSE1607,1354,1061.1318610000094,450385.0,332.63293943870013,11.48435481478834
RSE1508,RSE1511,1343,321.46869459999004,180559.0,134.4445271779598,8.607916773198966
RSE1508,RSE1505,1322,748.4863772999965,671197.0,507.71331316187593,5.307229273739519
RSE7108,RSE7192,1295,0.0,0.0,0.0,
