start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE1515,RSE7359,1601,798.2575305999934,132844.0,82.97564022485946,34.633382790085534
RSE7056,RSE7067,1279,2459.392711999952,83979.0,65.65989053948397,134.84356569062004
RSE7105,RSE7056,1233,1121.964708999981,175323.0,142.19221411192214,28.40572514906268
RSE1504,RSE8102,1194,558.2040792000046,180773.0,151.40117252931324,13.272913621134238
RSE1517,RSE1515,1155,572.0686682000069,76753.0,66.45281385281385,30.991121159767424
RSE1508,RSE1505,1121,748.4863772999967,192466.0,171.69134701159678,15.694157015950175
RSE1607,RSE7196,1092,367.1998744999919,226649.0,207.5540293040293,6.369038233719841
RSE7104,RSE7056,1014,1689.6092650000267,171289.0,168.9240631163708,36.007856085073165
RSE7359,RSE1511,1013,904.425261300024,195290.0,192.78381046396842,16.88902679558056
RSE1519,RSE1517,1006,410.02120349999046,105819.0,105.18787276341948,14.03276151348591
RSE1511,RSE1508,987,321.46869459999164,88121.0,89.28166160081054,12.962206121726833
RSE1501,RSE8103,964,355.1229927000029,64408.0,66.81327800829875,19.134561449914454
RSE7196,RSE1607,941,367.1998744999926,60621.0,64.42189160467588,20.519725752728835
RSE1505,RSE8103,847,441.99414319999454,139543.0,164.74970484061393,9.65815943075198
RSE8102,RSE1501,796,503.9284857999927,40964.0,51.462311557788944,35.25186673441215
RSE8103,RSE7157,789,374.93168119999484,63414.0,80.37262357414448,16.7937040287707
RSE7359,RSE1515,783,798.2575305999969,100750.0,128.67177522349937,22.333779923129246
RSE7104,RSE7105,746,442.86757959999943,45540.0,61.0455764075067,26.116933943209453
RSE1517,RSE1519,713,410.0212034999924,33542.0,47.04347826086956,31.376853650461527
RSE1501,RSE8102,695,503.9284857999934,62807.0,90.36978417266187,20.074658421379517
RSE7157,RSE8103,671,374.9316811999959,57094.0,85.08792846497765,15.863049867003715
RSE8103,RSE1501,633,355.1229926999967,26807.0,42.34913112164297,30.18817009604777
RSE7067,RSE7056,617,2459.3927119999985,30797.0,49.91410048622366,177.3810141213234
RSE1515,RSE1517,605,572.0686681999955,47689.0,78.82479338842975,26.12689633541467
RSE7359,RSE1607,595,1061.1318609999846,129065.0,216.91596638655463,17.61085070516381
RSE1503,RSE1505,577,1396.3048699999933,146671.0,254.19584055459273,19.77490080495794
RSE8099,RSE8102,560,992.6922662000118,55108.0,98.40714285714286,36.315373605633006
RSE1505,RSE7104,525,1463.1819370000082,142536.0,271.4971428571429,19.401511624642307
RSE1505,RSE1508,491,748.4863772999971,41512.0,84.54582484725051,31.870893248108377
RSE8102,RSE8099,469,992.6922662000125,39425.0,84.06183368869937,42.51266004444137
RSE7157,RSE7104,465,,51769.0,111.33118279569892,
RSE7056,RSE7104,462,1689.6092649999866,60054.0,129.98701298701297,46.79385435687844
RSE7192,RSE1505,450,1185.6597680000089,41425.0,92.05555555555556,46.36738259891405
RSE1508,RSE1511,431,321.4686945999993,24810.0,57.56380510440835,20.10442670460939
RSE7192,RSE7157,429,837.4935463999917,30751.0,71.68065268065268,42.06123485610703
RSE8103,RSE1505,384,441.9941431999994,27279.0,71.0390625,22.398647441610002
RSE1511,RSE7359,381,904.4252612999991,30958.0,81.25459317585302,40.07073093866137
RSE1607,RSE1513,369,1405.7928529999945,99656.0,270.07046070460706,18.739014469025374
RSE8103,RSE7104,356,1040.0916149999987,81100.0,227.80898876404495,16.43626897390873
RSE7192,RSE7104,308,330.00077579999936,38518.0,125.05844155844156,9.499580980503643
RSE7056,RSE7105,306,1121.9647090000037,34531.0,112.84640522875817,35.79265944902853
RSE1513,RSE1607,304,1405.7928529999951,79579.0,261.7730263157895,19.33298606822396
RSE1505,RSE1503,292,1396.3048699999938,50240.0,172.05479452054794,29.21567833089159
RSE1607,RSE7359,287,1061.1318609999976,58185.0,202.73519163763066,18.84268176996129
RSE1513,RSE7359,264,878.8379134999997,42385.0,160.54924242424244,19.706206275578616
RSE8102,RSE1504,252,558.2040792000008,31561.0,125.2420634920635,16.045205812561093
RSE7104,RSE8103,250,1040.091615000005,44518.0,178.072,21.027055427018386
RSE7104,RSE7157,246,,17563.0,71.39430894308943,
RSE1512,RSE1513,240,544.2562390999984,27348.0,113.95,17.194580612198283
RSE1504,RSE1505,180,718.6204714000021,35624.0,197.9111111111111,13.071695078239427
RSE7359,RSE1513,172,878.8379134999997,50226.0,292.01162790697674,10.834556525289686
RSE1513,RSE1512,169,544.2562390999996,22009.0,130.23076923076923,15.045004128694615
RSE7105,RSE7104,163,442.86757960000114,6831.0,41.9079754601227,38.04343371530972
RSE8102,RSE8103,147,670.722959699998,18659.0,126.93197278911565,19.022808846842754
RSE1503,RSE1504,147,847.8129298999994,27142.0,184.63945578231292,16.530196835276683
RSE1505,RSE1504,143,718.6204714000013,12473.0,87.22377622377623,29.659730512043666
RSE1508,RSE7359,141,,14572.0,103.34751773049645,
RSE1504,RSE1503,117,847.8129298999994,22338.0,190.92307692307693,15.986158388122469
RSE7359,RSE1517,93,711.8968416999998,18228.0,196.0,13.075656276122446
RSE1505,RSE7157,91,1543.3642450000018,19091.0,209.7912087912088,26.484004329893697
RSE8103,RSE8102,82,670.722959699999,9659.0,117.79268292682927,20.498749115171314
RSE1511,RSE1505,78,2215.966656000002,17576.0,225.33333333333334,35.403017581065114
RSE1515,RSE1519,77,942.8130630000004,10382.0,134.83116883116884,25.173163269466393
RSE1517,RSE7359,74,711.8968416999998,10695.0,144.52702702702703,17.732521610928465
RSE1504,RSE1501,73,867.5801859999993,12116.0,165.97260273972603,18.818097794717715
RSE8103,RSE7105,65,,21197.0,326.10769230769233,
RSE7359,RSE1508,61,,17573.0,288.08196721311475,
RSE7157,RSE1505,57,1543.3642450000002,5635.0,98.85964912280701,56.202012967879334
RSE1519,RSE1515,51,942.8130630000009,8103.0,158.88235294117646,21.36251738452427
RSE1515,RSE1511,50,,12549.0,250.98,
RSE7192,RSE8103,47,1011.0006579999995,8352.0,177.70212765957447,20.481478847413783
RSE7104,RSE1505,47,1463.1819370000005,13418.0,285.48936170212767,18.450617360292153
RSE1501,RSE7157,46,1488.5671270000005,5571.0,121.1086956521739,44.248198928594526
RSE1508,RSE7104,46,1347.0903019999987,17741.0,385.67391304347825,12.574158954467043
RSE1508,RSE8103,40,1834.6449270000007,12275.0,306.875,21.522514825906324
RSE1501,RSE8099,39,605.4655257999997,5649.0,144.84615384615384,15.048213811704718
RSE1607,RSE1511,39,809.1298504000004,10957.0,280.94871794871796,10.367968512928726
RSE1515,RSE1607,35,,9442.0,269.77142857142854,
RSE7104,RSE7067,33,2469.174308000001,7774.0,235.57575757575756,37.733201413738115
RSE1504,RSE8099,32,828.8936914000003,9485.0,296.40625,10.067322430076969
RSE7157,RSE1501,32,1488.567127,3409.0,106.53125,50.303001768964506
RSE7359,RSE7196,31,1406.408410000001,11290.0,364.19354838709677,13.902141590434022
RSE8099,RSE1501,29,605.4655258,5455.0,188.10344827586206,11.587644526768104
RSE1505,RSE1501,28,668.0062830999997,6791.0,242.53571428571428,9.915334020980707
RSE1505,RSE7056,23,1680.624489000001,11890.0,516.9565217391304,11.70359189984862
RSE7067,RSE7104,23,2469.174308000001,5817.0,252.91304347826087,35.14657601897887
RSE8103,RSE1508,22,1834.6449270000005,2517.0,114.4090909090909,57.72899412729441
RSE7105,RSE7067,21,,4329.0,206.14285714285714,
RSE1501,RSE7104,21,1299.4422410000002,7233.0,344.42857142857144,13.5818931867275
RSE7196,RSE1513,21,1405.7928529999995,6959.0,331.3809523809524,15.272013175283798
RSE8099,RSE1504,21,828.8936914000002,4901.0,233.38095238095238,12.786036129328712
RSE1501,RSE1505,20,668.0062830999998,3260.0,163.0,14.75351300098159
RSE1513,RSE1515,18,1595.5770049999996,3085.0,171.38888888888889,33.514875177957855
RSE1607,RSE1512,18,,5771.0,320.6111111111111,
RSE1511,RSE1515,18,,3997.0,222.05555555555554,
RSE1607,RSE1515,18,,5588.0,310.44444444444446,
RSE1501,RSE1504,17,867.5801859999997,4765.0,280.29411764705884,11.142897666988453
RSE7157,RSE7056,16,1695.5394979999996,4699.0,293.6875,20.783799762672903
RSE1505,RSE7105,16,1680.6244890000007,5669.0,354.3125,17.076022326053984
RSE1505,RSE1511,15,2215.966656,1484.0,98.93333333333334,80.63490527223719
RSE8103,RSE7056,14,1689.6092649999994,6263.0,447.35714285714283,13.596727918888707
RSE1505,RSE7359,13,2215.966656,1749.0,134.53846153846155,59.29516266483705
RSE7359,RSE1505,13,2215.966656,4817.0,370.53846153846155,21.529424849657463
RSE8102,RSE7105,12,,6071.0,505.9166666666667,
RSE1512,RSE7359,12,,3262.0,271.8333333333333,
RSE1515,RSE1513,12,1595.5770049999999,5967.0,497.25,11.551688723981899
RSE7056,RSE8103,11,1689.6092649999994,2809.0,255.36363636363637,23.8193402969028
RSE7105,RSE8103,11,,3681.0,334.6363636363636,
RSE1504,RSE1512,11,,1517.0,137.9090909090909,
RSE7359,RSE1519,11,1091.649803,2510.0,228.1818181818182,17.222841513466136
RSE7359,RSE1512,10,,3723.0,372.3,
RSE1513,RSE7196,10,1405.7928529999997,5077.0,507.7,9.968198287965333
RSE7192,RSE1503,9,1500.869162,1882.0,209.11111111111111,25.838555180021253
RSE7056,RSE7157,9,1695.539498,1569.0,174.33333333333334,35.01305273116635
RSE7056,RSE1505,9,1680.624489,3600.0,400.0,15.125620401000003
RSE7196,RSE7359,9,1406.40841,2096.0,232.88888888888889,21.740282673664122
RSE1512,RSE1504,9,,3031.0,336.77777777777777,
RSE1512,RSE1607,8,,2723.0,340.375,
RSE1505,RSE7067,8,1680.624489,4108.0,513.5,11.782372269522883
RSE1511,RSE7104,8,1470.04086,2995.0,374.375,14.135952176293825
RSE8103,RSE1503,8,1358.780184,1453.0,181.625,26.93246338554714
RSE8103,RSE1504,8,1085.871451,3987.0,498.375,7.843766688939052
RSE7192,RSE7056,8,1695.539498,2405.0,300.625,20.304173614303533
RSE7157,RSE8102,7,1171.285878,1603.0,229.0,18.413227776419212
RSE8102,RSE7157,7,1171.285878,1251.0,178.71428571428572,23.594247902158273
RSE7196,RSE8103,7,1508.2878230000001,8356.0,1193.7142857142858,4.548689940114888
RSE7157,RSE7105,7,,1007.0,143.85714285714286,
RSE7192,RSE1508,7,1347.0903020000003,1338.0,191.14285714285714,25.371207481614356
RSE1508,RSE1515,6,,1389.0,231.5,
RSE1508,RSE1504,6,1323.6629649999998,2058.0,343.0,13.892672518950436
RSE8099,RSE8103,6,911.1350202,1750.0,291.6666666666667,11.246009392182856
RSE1511,RSE1607,6,809.1298504,2972.0,495.3333333333333,5.880620716231494
RSE7067,RSE7105,6,,1100.0,183.33333333333334,
RSE1503,RSE8102,5,1406.017009,1134.0,226.8,22.3177303015873
RSE1504,RSE1513,5,1541.097705,1319.0,263.8,21.03090120545868
RSE1504,RSE8103,5,1085.871451,1215.0,243.0,16.08698445925926
RSE1504,RSE1508,5,1323.662965,780.0,156.0,30.546068423076925
RSE1513,RSE1504,5,1541.097705,1649.0,329.8,16.822170218314128
RSE1519,RSE7359,5,1091.649803,1024.0,204.8,19.189156693359372
