start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE8102,RSE8102,2142,0.0,0.0,0.0,
RSE1515,RSE7359,2049,798.2575306000091,219694.0,107.22010736944851,26.802128636730668
RSE1517,RSE1515,1626,572.06866820002,286818.0,176.39483394833948,11.675212699954805
RSE1519,RSE1517,1541,410.02120349998887,168400.0,109.27968851395198,13.507325585133838
RSE8103,RSE1501,1499,355.12299270000955,448898.0,299.46497665110076,4.269089454188549
RSE7196,RSE1607,1494,367.19987449999326,380416.0,254.62918340026775,5.1915476872969695
RSE7359,RSE1515,1485,798.2575305999877,311878.0,210.0188552188552,13.683186241374942
RSE1501,RSE8102,1345,503.92848580000407,1002871.0,745.6289962825279,2.433036480508081
RSE7359,RSE1511,1337,904.4252613000319,229625.0,171.74644727000748,18.95777754029097
RSE7056,RSE7056,1250,0.0,0.0,0.0,
RSE7157,RSE8103,1248,374.9316811999926,141599.0,113.46073717948718,11.89622142314089
RSE8102,RSE1501,1209,503.9284857999993,369289.0,305.44995864350705,5.939246339847428
RSE7067,RSE7056,1148,2459.3927119999667,117353.0,102.22386759581882,86.61200139880073
RSE7056,RSE7104,1134,1689.6092650000337,162663.0,143.44179894179894,42.40460869058199
RSE1501,RSE8103,1129,355.122992700006,548033.0,485.414526129318,2.6337134653020975
RSE8103,RSE8103,1061,0.0,0.0,0.0,
RSE1515,RSE1517,1044,572.0686682000021,242562.0,232.33908045977012,8.863972438233885
RSE1607,RSE7196,1039,367.1998744999921,191641.0,184.4475457170356,7.166913189660723
RSE7105,RSE7056,1031,1121.9647089999844,136285.0,132.18719689621727,30.555704691817454
RSE1511,RSE7359,967,904.4252613000224,128774.0,133.16856256463288,24.449696519776026
RSE8099,RSE8102,951,992.6922661999948,356370.0,374.73186119873816,9.536664821848928
RSE1505,RSE8103,894,441.99414319999437,114398.0,127.96196868008948,12.434779895407804
RSE1511,RSE1508,891,321.46869459999226,99561.0,111.74074074074075,10.356896624169456
RSE1504,RSE8102,888,558.204079199993,398068.0,448.27477477477476,4.482819016817573
RSE8103,RSE7157,872,374.9316811999943,152851.0,175.28784403669724,7.700214808035422
RSE1505,RSE1508,839,748.4863772999968,121732.0,145.0917759237187,18.571355551514067
RSE7196,RSE7196,832,0.0,0.0,0.0,
RSE7359,RSE1607,832,1061.1318609999812,274853.0,330.35216346153845,11.563643657035374
RSE7192,RSE7157,830,837.4935463999892,117934.0,142.08915662650602,21.218908174429494
RSE1508,RSE1505,821,748.4863772999968,363962.0,443.3154689403167,6.0781794163892675
RSE8103,RSE1505,739,441.99414319999516,197834.0,267.70500676589984,5.943777199921486
RSE7192,RSE1505,737,1185.6597680000102,175941.0,238.72591587516962,17.87981480415382
RSE1607,RSE7359,691,1061.131860999983,438632.0,634.7785817655572,6.0179640733543325
RSE7108,RSE7192,672,0.0,0.0,0.0,
RSE7056,RSE7067,671,2459.3927120000035,241379.0,359.73025335320415,24.612369075632962
RSE1508,RSE1511,634,321.46869459999493,118921.0,187.5725552050473,6.169811459330383
RSE7104,RSE7056,611,1689.6092649999844,130462.0,213.52209492635023,28.486950524244346
RSE8102,RSE1504,600,558.2040791999945,294844.0,491.4066666666667,4.08935169469953
RSE8102,RSE8099,597,992.6922662000093,754891.0,1264.4740368509213,2.8262281819720463
RSE1523,RSE1519,594,0.0,0.0,0.0,
RSE1513,RSE1607,586,1405.7928529999936,393893.0,672.1723549488055,7.529102072615625
RSE1517,RSE1519,563,410.0212034999941,46110.0,81.90053285968028,18.022792783643204
RSE1511,RSE7104,553,1470.0408599999857,169339.0,306.21880650994575,17.282240618451578
