start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE8102,RSE8102,2940,0.0,0.0,0.0,
RSE7359,RSE1515,2394,798.2575306000173,581393.0,242.85421888053466,11.833136452835154
RSE7056,RSE7104,2339,1689.6092650000646,433355.0,185.27362120564345,32.83032584141534
RSE1515,RSE7359,2201,798.257530600013,262342.0,119.19218537028624,24.11002953954099
RSE7196,RSE1607,2050,367.19987450000747,436709.0,213.02878048780488,6.205356596291936
RSE7056,RSE7056,1974,0.0,0.0,0.0,
RSE7067,RSE7056,1950,2459.392711999909,386041.0,197.9697435897436,44.72306526570846
RSE8103,RSE1501,1866,355.12299270000096,732759.0,392.6897106109325,3.2556054797846583
RSE1517,RSE1515,1823,572.0686682000236,439751.0,241.22380691168405,8.537495663825926
RSE1519,RSE1517,1814,410.0212034999884,340301.0,187.59702315325248,7.868335583311024
RSE1511,RSE7359,1746,904.4252613000378,535265.0,306.5664375715922,10.6206372963439
RSE1501,RSE8102,1733,503.92848580001356,1897429.0,1094.8811309867283,1.656931056292027
RSE7157,RSE8103,1698,374.9316812000019,174352.0,102.68080094228505,13.145145342980703
RSE1515,RSE1517,1667,572.0686682000209,360104.0,216.01919616076785,9.53363053896087
RSE1505,RSE1508,1580,748.4863772999965,152523.0,96.53354430379747,27.91310500109741
RSE7359,RSE1511,1559,904.4252613000356,436536.0,280.01026298909557,11.627898584584823
RSE8102,RSE1501,1460,503.9284858000074,502879.0,344.4376712328767,5.266969035025999
RSE1501,RSE8103,1407,355.12299270000955,682952.0,485.3958777540867,2.6338146496738983
RSE8103,RSE1505,1299,441.9941431999932,210006.0,161.66743648960738,9.842296940375267
RSE7192,RSE1505,1255,1185.659768000011,247275.0,197.03187250996015,21.663374105041147
RSE1607,RSE7196,1209,367.19987449999144,308240.0,254.95450785773366,5.184923221430583
RSE8103,RSE8103,1179,0.0,0.0,0.0,
RSE1508,RSE1511,1151,321.4686945999908,162175.0,140.8992180712424,8.213582136238767
RSE7105,RSE7056,1110,1121.964708999983,250795.0,225.94144144144144,17.876636205522168
RSE7196,RSE7196,1089,0.0,0.0,0.0,
RSE8099,RSE8102,1075,992.6922661999921,648385.0,603.1488372093023,5.925058522627713
RSE8103,RSE7157,1060,374.9316811999933,108287.0,102.15754716981132,13.212475139759846
RSE1511,RSE1508,971,321.46869459999175,236545.0,243.6096807415036,4.750580096149702
RSE7192,RSE7157,966,837.4935463999888,135976.0,140.76190476190476,21.418982445141797
RSE7108,RSE7192,957,0.0,0.0,0.0,
RSE1505,RSE8103,953,441.9941431999941,153509.0,161.0797481636936,9.878205880375349
RSE7104,RSE7157,952,,195956.0,205.8361344537815,
RSE1504,RSE8102,948,558.2040791999932,335804.0,354.2236286919831,5.673067865462404
RSE1607,RSE7359,944,1061.1318609999803,355437.0,376.52224576271186,10.145681278038957
RSE1513,RSE1607,934,1405.7928530000165,629397.0,673.8725910064239,7.51010552787391
RSE8102,RSE1504,886,558.204079199993,644426.0,727.3431151241535,2.7628427950087326
RSE1517,RSE1519,883,410.02120349999115,55372.0,62.70894677236693,23.5385285286024
RSE1508,RSE1505,847,748.4863772999968,280128.0,330.72963400236125,8.147292172375309
RSE7104,RSE7056,827,1689.6092650000114,240662.0,291.006045949214,20.90194839134568
RSE7359,RSE1607,800,1061.1318609999817,398321.0,497.90125,7.672354105557947
RSE7104,RSE1511,791,1470.0408599999864,428207.0,541.3489254108723,9.775852223191029
RSE7194,RSE7196,777,0.0,0.0,0.0,
RSE7056,RSE7067,760,2459.39271200001,231311.0,304.3565789473684,29.09026574625516
RSE1523,RSE1519,708,0.0,0.0,0.0,
RSE8102,RSE8099,661,992.6922662000055,842280.0,1274.251134644478,2.804543045839309
RSE1511,RSE7104,648,1470.0408599999805,393375.0,607.0601851851852,8.71766461571771
RSE7105,RSE7105,640,0.0,0.0,0.0,
RSE1607,RSE1513,591,1405.7928529999936,662938.0,1121.7225042301184,4.511681143700899
RSE1513,RSE7359,588,878.8379135000139,632076.0,1074.9591836734694,2.9431968549617915
RSE7104,RSE7105,579,442.867579599995,126611.0,218.6718480138169,7.290939830806405
RSE7157,RSE7104,552,,516727.0,936.0996376811594,
RSE7105,RSE7104,533,442.86757959999557,184850.0,346.81050656660415,4.597102038065845
RSE7060,RSE7056,529,0.0,0.0,0.0,
RSE8098,RSE8099,519,0.0,0.0,0.0,
RSE1507,RSE1504,511,0.0,0.0,0.0,
RSE1505,RSE1504,500,718.6204713999961,285561.0,571.122,4.529739174887302
RSE7056,RSE7105,496,1121.9647090000071,310071.0,625.1431451612904,6.461036937960701
RSE1512,RSE1513,479,544.2562391000042,747044.0,1559.5908141962423,1.256305463539025
RSE7203,RSE7196,477,0.0,0.0,0.0,
RSE8050,RSE7105,458,0.0,0.0,0.0,
RSE7401,RSE7067,449,0.0,0.0,0.0,
RSE7104,RSE8103,438,1040.0916149999957,94492.0,215.7351598173516,17.356140821783786
RSE1602,RSE1513,421,0.0,0.0,0.0,
