reg_ymdhms,vds_id,tr_vol,trvl_spd,trvl_tm
20230216000000,VDS0022,64.0,71.7,20.0
20230216000500,VDS0022,57.0,79.8,18.0
20230216001000,VDS0022,77.0,69.6,21.0
20230216001500,VDS0022,74.0,69.6,21.0
20230216002000,VDS0022,57.0,71.2,21.0
20230216002500,VDS0022,64.0,70.3,21.0
20230216003000,VDS0022,43.0,75.9,19.0
20230216003500,VDS0022,43.0,70.5,21.0
20230216004000,VDS0022,43.0,71.2,21.0
20230216004500,VDS0022,64.0,78.1,19.0
20230216005000,VDS0022,50.0,80.7,18.0
20230216005500,VDS0022,35.0,80.3,18.0
20230216010000,VDS0022,25.0,75.3,19.0
20230216010500,VDS0022,27.0,74.6,20.0
20230216011000,VDS0022,46.0,72.5,20.0
20230216011500,VDS0022,38.0,72.1,20.0
20230216012000,VDS0022,30.0,77.2,19.0
20230216012500,VDS0022,28.0,63.1,23.0
20230216013000,VDS0022,28.0,84.4,17.0
20230216013500,VDS0022,31.0,72.6,20.0
20230216014000,VDS0022,24.0,68.5,21.0
20230216014500,VDS0022,23.0,69.2,21.0
20230216015000,VDS0022,37.0,75.1,20.0
20230216015500,VDS0022,31.0,70.8,21.0
20230216020000,VDS0022,31.0,74.5,20.0
20230216020500,VDS0022,21.0,72.5,20.0
20230216021000,VDS0022,24.0,78.2,19.0
20230216021500,VDS0022,33.0,76.2,19.0
20230216022000,VDS0022,26.0,64.8,23.0
20230216022500,VDS0022,28.0,76.7,19.0
20230216023000,VDS0022,23.0,72.6,20.0
20230216023500,VDS0022,17.0,73.4,20.0
20230216024000,VDS0022,15.0,74.1,20.0
20230216024500,VDS0022,16.0,80.1,18.0
20230216025000,VDS0022,34.0,76.2,19.0
20230216025500,VDS0022,19.0,74.4,20.0
20230216030000,VDS0022,20.0,63.1,23.0
20230216030500,VDS0022,16.0,87.4,17.0
20230216031000,VDS0022,25.0,62.0,24.0
20230216031500,VDS0022,28.0,72.3,20.0
20230216032000,VDS0022,38.0,81.3,18.0
20230216032500,VDS0022,25.0,71.0,21.0
20230216033000,VDS0022,19.0,75.7,19.0
20230216033500,VDS0022,29.0,69.1,21.0
20230216034000,VDS0022,22.0,69.1,21.0
20230216034500,VDS0022,21.0,79.7,18.0
20230216035000,VDS0022,34.0,71.6,20.0
20230216035500,VDS0022,30.0,67.0,22.0
20230216040000,VDS0022,30.0,71.5,20.0
20230216040500,VDS0022,22.0,72.7,20.0
20230216041000,VDS0022,18.0,73.0,20.0
20230216041500,VDS0022,26.0,62.1,24.0
20230216042000,VDS0022,28.0,74.5,20.0
20230216042500,VDS0022,29.0,66.9,22.0
20230216043000,VDS0022,23.0,64.0,23.0
20230216043500,VDS0022,33.0,65.0,23.0
20230216044000,VDS0022,33.0,76.7,19.0
20230216044500,VDS0022,41.0,73.5,20.0
20230216045000,VDS0022,60.0,74.6,20.0
20230216045500,VDS0022,44.0,71.4,21.0
20230216050000,VDS0022,37.0,63.1,23.0
20230216050500,VDS0022,44.0,67.9,22.0
20230216051000,VDS0022,51.0,64.6,23.0
20230216051500,VDS0022,51.0,67.5,22.0
20230216052000,VDS0022,56.0,68.3,21.0
20230216052500,VDS0022,71.0,63.5,23.0
20230216053000,VDS0022,75.0,65.3,22.0
20230216053500,VDS0022,90.0,65.3,22.0
20230216054000,VDS0022,82.0,67.6,22.0
20230216054500,VDS0022,101.0,70.8,21.0
20230216055000,VDS0022,117.0,59.9,24.0
20230216055500,VDS0022,113.0,58.4,25.0
20230216060000,VDS0022,117.0,62.6,23.0
20230216060500,VDS0022,126.0,60.0,24.0
20230216061000,VDS0022,154.0,60.3,24.0
20230216061500,VDS0022,154.0,55.8,26.0
20230216062000,VDS0022,126.0,54.4,27.0
20230216062500,VDS0022,149.0,61.4,24.0
20230216063000,VDS0022,156.0,55.8,26.0
20230216063500,VDS0022,166.0,58.8,25.0
20230216064000,VDS0022,154.0,58.9,25.0
20230216064500,VDS0022,172.0,59.2,25.0
20230216065000,VDS0022,215.0,54.6,27.0
20230216065500,VDS0022,199.0,61.5,24.0
20230216070000,VDS0022,207.0,54.7,27.0
20230216070500,VDS0022,213.0,56.1,26.0
20230216071000,VDS0022,236.0,50.6,29.0
20230216071500,VDS0022,241.0,52.1,28.0
20230216072000,VDS0022,255.0,50.2,29.0
20230216072500,VDS0022,288.0,56.4,26.0
20230216073000,VDS0022,288.0,49.3,30.0
20230216073500,VDS0022,249.0,52.1,28.0
20230216074000,VDS0022,278.0,52.7,28.0
20230216074500,VDS0022,319.0,58.9,25.0
20230216075000,VDS0022,292.0,53.1,28.0
20230216075500,VDS0022,256.0,49.3,30.0
20230216080000,VDS0022,268.0,52.5,28.0
20230216080500,VDS0022,311.0,48.5,30.0
20230216081000,VDS0022,313.0,50.3,29.0
20230216081500,VDS0022,280.0,53.7,27.0
20230216082000,VDS0022,286.0,55.1,27.0
20230216082500,VDS0022,291.0,55.2,27.0
20230216083000,VDS0022,316.0,49.5,30.0
20230216083500,VDS0022,290.0,55.5,26.0
20230216084000,VDS0022,305.0,55.7,26.0
20230216084500,VDS0022,312.0,52.6,28.0
20230216085000,VDS0022,343.0,57.6,25.0
20230216085500,VDS0022,280.0,60.5,24.0
20230216090000,VDS0022,266.0,59.6,25.0
20230216090500,VDS0022,285.0,58.7,25.0
20230216091000,VDS0022,272.0,58.0,25.0
20230216091500,VDS0022,273.0,62.1,24.0
20230216092000,VDS0022,252.0,57.0,26.0
20230216092500,VDS0022,272.0,58.0,25.0
20230216093000,VDS0022,319.0,59.2,25.0
20230216093500,VDS0022,277.0,54.5,27.0
20230216094000,VDS0022,283.0,59.2,25.0
20230216094500,VDS0022,300.0,58.4,25.0
20230216095000,VDS0022,301.0,53.7,27.0
20230216095500,VDS0022,251.0,63.8,23.0
20230216100000,VDS0022,237.0,54.2,27.0
20230216100500,VDS0022,261.0,53.9,27.0
20230216101000,VDS0022,243.0,56.7,26.0
20230216101500,VDS0022,217.0,54.8,27.0
20230216102000,VDS0022,220.0,54.8,27.0
20230216102500,VDS0022,235.0,53.5,27.0
20230216103000,VDS0022,272.0,55.7,26.0
20230216103500,VDS0022,243.0,56.3,26.0
20230216104000,VDS0022,257.0,51.0,29.0
20230216104500,VDS0022,250.0,57.0,26.0
20230216105000,VDS0022,231.0,57.6,25.0
20230216105500,VDS0022,149.0,58.6,25.0
20230216110000,VDS0022,200.0,61.3,24.0
20230216110500,VDS0022,240.0,53.9,27.0
20230216111000,VDS0022,258.0,57.0,26.0
20230216111500,VDS0022,247.0,54.0,27.0
20230216112000,VDS0022,264.0,49.7,29.0
20230216112500,VDS0022,262.0,58.2,25.0
20230216113000,VDS0022,224.0,52.9,28.0
20230216113500,VDS0022,226.0,55.8,26.0
20230216114000,VDS0022,254.0,54.9,27.0
20230216114500,VDS0022,267.0,55.4,26.0
20230216115000,VDS0022,238.0,58.7,25.0
20230216115500,VDS0022,213.0,57.3,26.0
20230216120000,VDS0022,226.0,59.7,25.0
20230216120500,VDS0022,203.0,59.9,24.0
20230216121000,VDS0022,238.0,58.4,25.0
20230216121500,VDS0022,239.0,56.8,26.0
20230216122000,VDS0022,227.0,57.6,25.0
20230216122500,VDS0022,217.0,55.2,27.0
20230216123000,VDS0022,254.0,59.0,25.0
20230216123500,VDS0022,260.0,55.8,26.0
20230216124000,VDS0022,233.0,57.3,26.0
20230216124500,VDS0022,244.0,61.4,24.0
20230216125000,VDS0022,214.0,54.9,27.0
20230216125500,VDS0022,196.0,57.4,26.0
20230216130000,VDS0022,201.0,63.3,23.0
20230216130500,VDS0022,218.0,53.9,27.0
20230216131000,VDS0022,233.0,60.0,24.0
20230216131500,VDS0022,231.0,52.8,28.0
20230216132000,VDS0022,199.0,54.1,27.0
20230216132500,VDS0022,245.0,57.0,26.0
20230216133000,VDS0022,234.0,57.5,25.0
20230216133500,VDS0022,244.0,56.1,26.0
20230216134000,VDS0022,257.0,57.2,26.0
20230216134500,VDS0022,240.0,56.8,26.0
20230216135000,VDS0022,264.0,57.1,26.0
20230216135500,VDS0022,225.0,60.1,24.0
20230216140000,VDS0022,221.0,57.8,25.0
20230216140500,VDS0022,229.0,54.2,27.0
20230216141000,VDS0022,234.0,54.5,27.0
20230216141500,VDS0022,220.0,59.9,24.0
20230216142000,VDS0022,238.0,53.9,27.0
20230216142500,VDS0022,255.0,53.0,28.0
20230216143000,VDS0022,246.0,52.9,28.0
20230216143500,VDS0022,262.0,55.3,26.0
20230216144000,VDS0022,254.0,49.1,30.0
20230216144500,VDS0022,267.0,59.1,25.0
20230216145000,VDS0022,239.0,50.0,29.0
20230216145500,VDS0022,214.0,60.5,24.0
20230216150000,VDS0022,221.0,52.5,28.0
20230216150500,VDS0022,248.0,54.9,27.0
20230216151000,VDS0022,270.0,58.6,25.0
20230216151500,VDS0022,257.0,61.8,24.0
20230216152000,VDS0022,253.0,54.7,27.0
20230216152500,VDS0022,246.0,53.7,27.0
20230216153000,VDS0022,229.0,57.1,26.0
20230216153500,VDS0022,229.0,57.6,25.0
20230216154000,VDS0022,256.0,56.2,26.0
20230216154500,VDS0022,237.0,56.4,26.0
20230216155000,VDS0022,253.0,55.8,26.0
20230216155500,VDS0022,237.0,56.1,26.0
20230216160000,VDS0022,270.0,57.6,25.0
20230216160500,VDS0022,262.0,54.9,27.0
20230216161000,VDS0022,273.0,59.2,25.0
20230216161500,VDS0022,263.0,59.4,25.0
20230216162000,VDS0022,232.0,56.1,26.0
20230216162500,VDS0022,280.0,57.2,26.0
20230216163000,VDS0022,241.0,56.7,26.0
20230216163500,VDS0022,276.0,57.2,26.0
20230216164000,VDS0022,277.0,55.6,26.0
20230216164500,VDS0022,289.0,55.9,26.0
20230216165000,VDS0022,247.0,59.5,25.0
20230216165500,VDS0022,233.0,56.3,26.0
20230216170000,VDS0022,242.0,52.7,28.0
20230216170500,VDS0022,218.0,57.6,25.0
20230216171000,VDS0022,273.0,60.2,24.0
20230216171500,VDS0022,305.0,49.4,30.0
20230216172000,VDS0022,295.0,56.6,26.0
20230216172500,VDS0022,273.0,53.9,27.0
20230216173000,VDS0022,263.0,52.1,28.0
20230216173500,VDS0022,265.0,52.0,28.0
20230216174000,VDS0022,307.0,55.4,26.0
20230216174500,VDS0022,281.0,57.4,26.0
20230216175000,VDS0022,237.0,53.0,28.0
20230216175500,VDS0022,258.0,55.4,26.0
20230216180000,VDS0022,282.0,52.6,28.0
20230216180500,VDS0022,261.0,51.0,29.0
20230216181000,VDS0022,258.0,59.2,25.0
20230216181500,VDS0022,293.0,44.4,33.0
20230216182000,VDS0022,294.0,56.2,26.0
20230216182500,VDS0022,310.0,48.7,30.0
20230216183000,VDS0022,259.0,46.4,32.0
20230216183500,VDS0022,248.0,37.7,39.0
20230216184000,VDS0022,296.0,34.8,42.0
20230216184500,VDS0022,293.0,42.8,34.0
20230216185000,VDS0022,240.0,42.1,35.0
20230216185500,VDS0022,199.0,54.5,27.0
20230216190000,VDS0022,259.0,48.0,31.0
20230216190500,VDS0022,248.0,54.3,27.0
20230216191000,VDS0022,211.0,56.8,26.0
20230216191500,VDS0022,184.0,57.0,26.0
20230216192000,VDS0022,183.0,51.4,29.0
20230216192500,VDS0022,205.0,56.8,26.0
20230216193000,VDS0022,189.0,50.5,29.0
20230216193500,VDS0022,159.0,55.6,26.0
20230216194000,VDS0022,166.0,56.5,26.0
20230216194500,VDS0022,196.0,53.3,27.0
20230216195000,VDS0022,201.0,61.7,24.0
20230216195500,VDS0022,156.0,52.5,28.0
20230216200000,VDS0022,145.0,57.0,26.0
20230216200500,VDS0022,168.0,55.2,27.0
20230216201000,VDS0022,211.0,54.7,27.0
20230216201500,VDS0022,196.0,53.6,27.0
20230216202000,VDS0022,158.0,55.7,26.0
20230216202500,VDS0022,200.0,55.6,26.0
20230216203000,VDS0022,191.0,55.9,26.0
20230216203500,VDS0022,164.0,52.7,28.0
20230216204000,VDS0022,149.0,56.3,26.0
20230216204500,VDS0022,151.0,52.6,28.0
20230216205000,VDS0022,191.0,58.3,25.0
20230216205500,VDS0022,155.0,55.3,26.0
20230216210000,VDS0022,154.0,61.4,24.0
20230216210500,VDS0022,139.0,57.0,26.0
20230216211000,VDS0022,163.0,55.3,26.0
20230216211500,VDS0022,171.0,56.5,26.0
20230216212000,VDS0022,167.0,55.5,26.0
20230216212500,VDS0022,185.0,58.5,25.0
20230216213000,VDS0022,146.0,51.3,29.0
20230216213500,VDS0022,144.0,52.9,28.0
20230216214000,VDS0022,149.0,55.1,27.0
20230216214500,VDS0022,181.0,56.8,26.0
20230216215000,VDS0022,142.0,57.9,25.0
20230216215500,VDS0022,167.0,55.5,26.0
20230216220000,VDS0022,144.0,63.9,23.0
20230216220500,VDS0022,125.0,54.8,27.0
20230216221000,VDS0022,155.0,54.3,27.0
20230216221500,VDS0022,164.0,58.1,25.0
20230216222000,VDS0022,172.0,62.4,23.0
20230216222500,VDS0022,132.0,63.1,23.0
20230216223000,VDS0022,126.0,59.8,25.0
20230216223500,VDS0022,109.0,67.5,22.0
20230216224000,VDS0022,97.0,57.3,26.0
20230216224500,VDS0022,105.0,59.7,25.0
20230216225000,VDS0022,85.0,59.2,25.0
20230216225500,VDS0022,101.0,66.3,22.0
20230216230000,VDS0022,74.0,61.7,24.0
20230216230500,VDS0022,95.0,64.9,23.0
20230216231000,VDS0022,79.0,58.2,25.0
20230216231500,VDS0022,102.0,71.6,20.0
20230216232000,VDS0022,104.0,64.6,23.0
20230216232500,VDS0022,86.0,68.6,21.0
20230216233000,VDS0022,70.0,65.8,22.0
20230216233500,VDS0022,65.0,76.6,19.0
20230216234000,VDS0022,61.0,70.0,21.0
20230216234500,VDS0022,71.0,67.6,22.0
20230216235000,VDS0022,61.0,63.5,23.0
20230216235500,VDS0022,58.0,74.6,20.0
20230216000000,VDS0023,82.0,68.7,21.0
20230216000500,VDS0023,63.0,64.8,23.0
20230216001000,VDS0023,68.0,65.9,22.0
20230216001500,VDS0023,79.0,68.2,22.0
20230216002000,VDS0023,50.0,65.2,23.0
20230216002500,VDS0023,48.0,63.2,23.0
20230216003000,VDS0023,47.0,65.9,22.0
20230216003500,VDS0023,52.0,63.0,23.0
20230216004000,VDS0023,43.0,68.1,22.0
20230216004500,VDS0023,51.0,68.9,21.0
20230216005000,VDS0023,48.0,67.5,22.0
20230216005500,VDS0023,33.0,67.4,22.0
20230216010000,VDS0023,43.0,67.0,22.0
20230216010500,VDS0023,37.0,61.4,24.0
20230216011000,VDS0023,44.0,62.4,24.0
20230216011500,VDS0023,51.0,68.2,22.0
20230216012000,VDS0023,38.0,64.9,23.0
20230216012500,VDS0023,36.0,74.5,20.0
20230216013000,VDS0023,38.0,64.8,23.0
20230216013500,VDS0023,42.0,69.0,21.0
20230216014000,VDS0023,25.0,60.2,25.0
20230216014500,VDS0023,36.0,71.1,21.0
20230216015000,VDS0023,36.0,61.3,24.0
20230216015500,VDS0023,35.0,63.4,23.0
20230216020000,VDS0023,29.0,70.9,21.0
20230216020500,VDS0023,29.0,73.5,20.0
20230216021000,VDS0023,34.0,67.2,22.0
20230216021500,VDS0023,29.0,61.7,24.0
20230216022000,VDS0023,32.0,67.4,22.0
20230216022500,VDS0023,30.0,68.0,22.0
20230216023000,VDS0023,18.0,68.9,21.0
20230216023500,VDS0023,15.0,67.9,22.0
20230216024000,VDS0023,26.0,64.6,23.0
20230216024500,VDS0023,20.0,65.5,23.0
20230216025000,VDS0023,45.0,69.6,21.0
20230216025500,VDS0023,16.0,73.7,20.0
20230216030000,VDS0023,28.0,68.5,22.0
20230216030500,VDS0023,24.0,67.3,22.0
20230216031000,VDS0023,32.0,68.1,22.0
20230216031500,VDS0023,17.0,72.9,20.0
20230216032000,VDS0023,32.0,67.5,22.0
20230216032500,VDS0023,19.0,62.7,24.0
20230216033000,VDS0023,33.0,80.5,18.0
20230216033500,VDS0023,20.0,66.3,22.0
20230216034000,VDS0023,24.0,66.0,22.0
20230216034500,VDS0023,22.0,64.7,23.0
20230216035000,VDS0023,16.0,70.0,21.0
20230216035500,VDS0023,28.0,62.8,24.0
20230216040000,VDS0023,23.0,64.5,23.0
20230216040500,VDS0023,21.0,64.1,23.0
20230216041000,VDS0023,20.0,61.1,24.0
20230216041500,VDS0023,19.0,59.7,25.0
20230216042000,VDS0023,15.0,56.4,26.0
20230216042500,VDS0023,24.0,62.3,24.0
20230216043000,VDS0023,28.0,64.6,23.0
20230216043500,VDS0023,22.0,64.3,23.0
20230216044000,VDS0023,28.0,66.8,22.0
20230216044500,VDS0023,36.0,69.0,21.0
20230216045000,VDS0023,28.0,70.3,21.0
20230216045500,VDS0023,24.0,55.9,26.0
20230216050000,VDS0023,41.0,61.5,24.0
20230216050500,VDS0023,34.0,67.2,22.0
20230216051000,VDS0023,31.0,63.8,23.0
