RSE_ID,INST_LOCAT,LOCAL_NM,POINT_X,POINT_Y
RSE6227,중촌동 23-10 안양해물탕 앞,대전,127.4087955,36.34257351
RSE6229,중촌동 394-1 선병원 앞,대전,127.413945,36.33798946
RSE6230,중촌동 396-11 국민은행 앞/미건의료기 앞,대전,127.4157852,36.33660909
RSE6235,선화동 89-5 천주교회 앞,대전,127.4182273,36.33506692
RSE6236,선화2동 153-1 하나치과 앞 섬,대전,127.4197233,36.33341453
RSE6237,선화동 151-13 청정해역 앞,대전,127.4185161,36.3323058
RSE6238,선화동 140-10 양자강 앞,대전,127.4199056,36.33028035
RSE6239,선화3동 205-5 종로화랑표구사 앞,대전,127.4170982,36.32924563
RSE6240,선화동 999-999 동방스포츠센타 앞,대전,127.4154167,36.33287389
RSE6249,은행동 23-6 동양투자신탁 앞/프린스 웨딩 건너편,대전,127.4226512,36.33100488
RSE6283,태평동 513-5 삼부새롬아파트 103동 앞,서대전,127.3881251,36.32240777
RSE6284,유천1동 339-75 궁중해장국 앞,남대전,127.3870532,36.3155336
RSE6285,태평2동 414-1 100년전통해장국 앞,서대전,127.391014,36.32675191
RSE6287,태평2동 377-7 대광건재 한의원 앞,서대전,127.3947079,36.32607914
RSE6288,유천1동 322-1 효원부동산 앞,서대전,127.3932476,36.32093261
RSE6289,태평2동 423-3 목공인테리어 앞,서대전,127.3908431,36.31689681
RSE6291,유천2동 196 극동마트 앞,서대전,127.396417,36.32200246
RSE6292,대전광역시 중구 유천2동187 국민은행 앞,서대전,127.3971147,36.3186523
RSE6293,태평1동 259-2 연기나는 마을 앞,서대전,127.3993113,36.32718981
RSE6294,태평동 317 태평A 107동 앞,서대전,127.4007976,36.3235506
RSE6296,중촌동 999-999 하아얏트 모텔 앞/현암교 하상도로,대전,127.418601,36.33818817
RSE6299,오류동 168-8 계룡병원 앞,서대전,127.4057315,36.32073897
RSE6300,대전광역시 중구 용두동112-10 일반건물 하나은행  버스승강장,대전,127.4067024,36.32691829
RSE6301,문화동 283-2 고려 S-OIL 주유소 건너/군부대 앞,대전,127.4074786,36.31556764
RSE6304,대사동 246-55 소아병원 건너편/타이어가게,대전,127.4178657,36.31803352
RSE6305,대흥동 240-127 한국자동차정비학원 그림같은집 앞,대전,127.4199105,36.3180475
RSE6306,용두동 113-12,대전,127.4049839,36.32861633
RSE6307,오류동 185-5 식사일번지 앞,서대전,127.4034085,36.32650952
RSE6308,오류동 175-8 르노삼성자동차 앞,서대전,127.4102149,36.32401273
RSE6309,대전광역시 중구 문화1동1-29,대전,127.4118853,36.32245645
RSE6310,문화동 1-217 서대전우체국 앞,대전,127.4143734,36.32067057
RSE6311,대전광역시 중구 선화동381-177 대일광고사 앞,대전,127.417067,36.32286827
RSE6313,대흥동 521-7 성모병원 건너/우동전문점 앞,대전,127.4199527,36.32412069
RSE6314,선화동 287 일반건물,대전,127.4214261,36.32672272
RSE6315,대흥동 467-2 /중구청 건너 돌 실나이 앞,대전,127.4224938,36.32503321
RSE6316,대흥동 320-2 대전고등학교 앞,대전,127.4233299,36.32249966
RSE6318,대사동 97-26 꼬꼬양념통닭 앞,대전,127.4263918,36.31711051
RSE6320,은행동 160-1 약국 앞,대전,127.426992,36.3262502
RSE6324,대흥동 168 문창횟집 앞 교통섬,대전,127.428764,36.32424271
RSE6326,은행동 139-5 김선영 약국앞,대전,127.4258536,36.32890537
RSE6327,부사동 69 /충무4가 충무체육관 앞,대전,127.431801,36.31903854
RSE6330,목동 8-13 태운전자 앞,대전,127.411831,36.335591
RSE6338,선화동 78-2 한성식당앞/삼선교 하상도로 둔산방향,대전,127.4227607,36.3347835
