VDS_ID,VDS_SECTN_ID,ROUTE_DIR,LANE_CNT,ETL_TYPE,LINK_ID,START_NODE_ID,END_NODE_ID,SECTN_LEN,USE_YN,POI,X,Y
VDS0079,VL1880000089,3502,4,603,AN3014011100,AP3011000008,AP3023000132,940.17,Y,0,127.408072,36.32641516
VDS0085,VL1880000096,3502,4,603,AW3014014900,AP3011001200,AP3011000997,341.04,Y,0,127.3936623,36.32649394
VDS0009,VL1870000011,3502,3,603,AS3023013900,AP3011000997,AP3011001200,344.36,Y,1,127.4234444,36.41423354
VDS0044,VL1850000048,3502,3,603,AN3017023800,AP3011000038,AP3011000063,682.5,Y,1,127.3805518,36.32710563
VDS0054,VL1840000058,3502,3,603,AN3014009900,AP3011000063,AP3011000038,655.12,Y,0,127.443981,36.30865398
VDS0108,VL1880000208,3501,3,603,AN3020065900,AP3011000143,AP3011001121,3824.99,Y,1,127.349503,36.33566986
VDS0064,VL1880000070,3502,3,603,AN3023004402,AP3011001121,AP3011000143,3835.96,Y,0,127.4201398,36.37130232
VDS0077,VL1880000085,3502,2,603,AS3014006600,AP3017000038,AP3017000039,520.66,Y,1,127.4307429,36.32367808
VDS0118,VL1880000223,3502,2,603,AW3011012401,AP3017000039,AP3017000038,518.35,Y,0,127.492781,36.34483698
VDS0002,VL1870000004,3501,1,603,AE3023010800,AP3014000070,AP3014000026,332.13,Y,0,127.4363031,36.45371356
VDS0090,VL1880000104,3502,3,603,AE3020017000,AP3014000026,AP3014000070,332.52,Y,0,127.4040075,36.41264578
VDS0017,VL1860000019,3502,2,603,AW3020004300,AP3011001134,AP3011000022,699.4,Y,1,127.3595583,36.36351137
VDS0029,VL1850000032,3502,5,603,AE3023006800,AP3011000022,AP3011000114,299.12,Y,0,127.413244,36.35828498
VDS0032,VL1870000035,3502,3,603,AS3011001200,AP3014000041,AP3014000049,1359.65,Y,1,127.4203493,36.34449971
VDS0113,VL1880000214,3501,3,603,AN3017060400,AP3014000049,AP3014000041,1364.83,Y,0,127.3481107,36.32351431
VDS0086,VL1880000097,3502,2,603,AN3017020300,AP3014000053,AP3014000066,1075.55,Y,0,127.3914814,36.33066794
VDS0111,VL1880000212,3502,1,603,AW3017060300,AP3014000066,AP3014000053,1083.11,Y,0,127.3451707,36.32405093
VDS0089,VL1880000103,3501,2,603,AS3020001600,AP3017000010,AP3017000997,155.77,Y,1,127.4054878,36.38277591
VDS0126,VL1880000232,3502,3,603,AS3023099820,AP3017000011,AP3017000140,296.3,Y,0,127.4159286,36.42198548
VDS0012,VL1870000014,3502,2,603,AW3020002600,AP3017000026,AP3017000027,482.99,Y,1,127.3820157,36.38895336
VDS0037,VL1860000040,3502,4,603,AE3011011500,AP3017000026,AP3017000141,228.75,Y,1,127.4205903,36.33977154
VDS0047,VL1850000051,3502,4,603,AE3017026900,AP3017000024,AP3017000025,322.7,Y,1,127.3764971,36.31108753
VDS0122,VL1880000228,3502,4,603,AN3020005100,AP3017000994,AP3017000025,745.89,Y,1,127.3391,36.36641998
VDS0025,VL1850000028,3502,3,603,AE3017032900,AP3017000030,AP3017000224,189.14,Y,1,127.3652082,36.35784797
VDS0065,VL1880000071,3502,3,603,AS3023005800,AP3017000030,AP3017000031,422.07,Y,0,127.4300328,36.36592417
VDS0067,VL1880000074,3501,2,603,AE3023007600,AP3017000035,AP3017000036,463.3,Y,1,127.4447358,36.36250297
VDS0084,VL1880000095,3502,5,603,AE3014015000,AP3017000034,AP3017000033,356.84,Y,0,127.3933697,36.32588459
VDS0022,VL1860000025,3502,5,603,AW3020093100,AP3023000048,AP3023000019,463.88,Y,0,127.3547844,36.35981783
VDS0055,VL1850000060,3501,3,603,AS3017031000,AP3023000020,AP3023000010,961.83,Y,0,127.3495088,36.27900079
VDS0123,VL1880000229,3502,4,603,AW3017060100,AP3017000107,AP3017000108,511.17,Y,0,127.352836,36.33224598
VDS0096,VL1880000111,3502,3,603,AN3020006100,AP3017000229,AP3017000107,421.72,Y,0,127.3181812,36.37724256
VDS0001,VL1860000001,3502,2,603,AS3020083000,AP3017000046,AP3017000047,516.72,Y,0,127.3842022,36.44628539
VDS0080,VL1880000090,3502,3,603,AS3014011100,AP3017000047,AP3017000046,517.31,Y,0,127.4079542,36.32591798
VDS0100,VL1880000115,3502,5,603,AW3020006800,AP3017000020,AP3017000231,533.48,Y,0,127.3207211,36.36724659
VDS0057,VL1830000063,3502,3,603,AS3011097900,AP3017000231,AP3017000020,530.76,Y,0,127.478685,36.25771398
VDS0024,VL1850000027,3502,4,603,AW3017092900,AP3017000054,AP3017000055,418.92,Y,1,127.3634316,36.3586951
VDS0056,VL1840000062,3501,2,603,AN3014019300,AP3017000055,AP3017000054,416.59,Y,0,127.3772423,36.27409915
VDS0104,VL1880000204,3501,4,603,AE3020063500,AP3020001160,AP3020000904,703.45,Y,1,127.3454954,36.34827682
VDS0033,VL1830000036,3502,3,603,AN3011001200,AP3020000904,AP3020001160,702.6,Y,1,127.4215236,36.34418781
VDS0120,VL1880000226,3502,2,603,AN3020086302,AP3017000007,AP3017000008,561.22,Y,0,127.291112,36.27165198
VDS0070,VL1880000078,3501,2,603,AW3011004200,AP3017000008,AP3017000007,562.32,Y,0,127.4442395,36.34498086
VDS0077,VL1880000086,3501,3,603,AN3014006600,AP3017000120,AP3017000955,2904.4,Y,1,127.4307429,36.32367808
VDS0088,VL1880000101,3502,3,603,AE3017000600,AP3017000955,AP3017000120,2848.3,Y,0,127.3716341,36.36661623
VDS0094,VL1880000109,3502,3,603,AE3020003402,AP3020000884,AP3020000883,286.55,Y,0,127.3525922,36.38483091
VDS0129,VL1880000236,3501,2,603,AN3014009500,AP3020000883,AP3020000884,286.16,Y,0,127.427064,36.31550698
VDS0048,VL1850000052,3502,4,603,AW3017026900,AP3020000939,AP3020000937,442.48,Y,1,127.3782774,36.31260942
VDS0102,VL1880000202,3501,4,603,AE3020063200,AP3020000937,AP3020000939,433.52,Y,0,127.3330188,36.34833679
VDS0112,VL1880000213,3502,3,603,AS3017060400,AP3020000007,AP3020000008,2175.21,Y,0,127.3478106,36.32365036
VDS0119,VL1880000225,3502,2,603,AS3020086302,AP3020000008,AP3020000007,2172.85,Y,0,127.29098,36.27190598
VDS0087,VL1880000099,3502,2,603,AN3017014000,AP3020000023,AP3020000067,696.65,Y,1,127.3686427,36.3480512
VDS0086,VL1880000098,3501,2,603,AS3017020400,AP3020000023,AP3020000024,747.9,Y,0,127.3914814,36.33066794
VDS0060,VL1830000066,3502,4,603,AW3017040600,AP3020000964,AP3020000022,1155.96,Y,0,127.3622669,36.35442491
VDS0015,VL1850000017,3502,4,603,AS3017094300,AP3020000022,AP3020000964,1168.02,Y,1,127.3792179,36.36934173
VDS0026,VL1850000029,3502,3,603,AE3017005600,AP3011000084,AP3011000079,218.9,Y,0,127.3889688,36.3573932
VDS0035,VL1850000038,3502,4,603,AW3017018100,AP3011000079,AP3011000084,215.35,Y,1,127.3968104,36.33587777
VDS0043,VL1850000047,3502,3,603,AS3017023800,AP3023000063,AP3023000012,2388.66,Y,1,127.380009,36.32731047
VDS0062,VL1880000068,3502,3,603,AN3023002800,AP3023000012,AP3023000063,2384.21,Y,0,127.425058,36.43437197
VDS0070,VL1880000077,3502,2,603,AE3011004200,AP3020000004,AP3020000993,364.32,Y,0,127.4442395,36.34498086
VDS0074,VL1880000082,3502,4,603,AE3011009100,AP3020000993,AP3020000004,365.11,Y,0,127.4478861,36.31972365
VDS0129,VL1880000235,3502,2,603,AS3014009500,AP3023000077,AP3023000971,1570.87,Y,0,127.427064,36.31550698
VDS0003,VL1870000005,3502,3,603,AS3020092100,AP3023000971,AP3023000077,1587.76,Y,1,127.389792,36.43524974
