VDS_ID,VDS_SECTN_,LINK_ID_da,LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_,geometry
VDS0052,VL1840000056,AS3011013900,1830005202,1830002301,1830002302,2.0,103,000,17,일반국도17호선,0,0,000,40.0,0,0.0,0.0,194.264146118,가오동길,POINT (127.44166033592715 36.312390690203536)
VDS0053,VL1840000057,AS3014009900,1840017800,1840008300,1840007100,3.0,103,000,17,일반국도17호선,0,0,000,60.0,0,0.0,0.0,515.400085935,옥계로,POINT (127.443958 36.30855098)
VDS0054,VL1840000058,AN3014009900,1840017700,1840007100,1840008300,3.0,103,000,17,일반국도17호선,0,0,000,60.0,0,0.0,0.0,518.667755588,옥계로,POINT (127.443981 36.30865398)
VDS0055,VL1850000059,AN3017031000,1850296400,1850097600,1850095600,1.0,104,000,-,별곡로,0,0,000,60.0,0,0.0,0.0,808.63027981,,POINT (127.34975428185395 36.279260109512116)
VDS0055,VL1850000060,AS3017031000,1850296500,1850095600,1850097600,1.0,104,000,-,별곡로,0,0,000,60.0,0,0.0,0.0,840.617796791,,POINT (127.34963703076215 36.27910317180888)
VDS0056,VL1840000062,AN3014019300,1840000102,1840000104,1840000102,2.0,106,000,635,대둔산길,0,0,000,70.0,0,0.0,0.0,267.153620339,,POINT (127.37689634255679 36.275400427592146)
VDS0056,VL1840000061,AS3014019300,1840000202,1840000102,1840000104,2.0,106,000,635,대둔산길,0,0,000,70.0,0,0.0,0.0,271.495087647,,POINT (127.37661676382518 36.275426473845506)
VDS0057,VL1830000063,AS3011097900,1830190300,1830072900,1830048400,3.0,103,000,17,일반국도17호선,0,0,000,80.0,0,0.0,0.0,1281.54138455,금산길,POINT (127.478685 36.25771398)
VDS0058,VL1830000064,AN3011006600,1830190400,1830048400,1830072900,3.0,103,000,17,일반국도17호선,0,0,000,80.0,0,0.0,0.0,1294.96368249,금산길,POINT (127.478802 36.25770198)
VDS0059,VL1830000065,AE3017009000,1850010900,1850004700,1850004800,4.0,103,000,32,일반국도32호선,0,0,000,70.0,0,0.0,0.0,507.044448103,계룡로,POINT (127.3616958653895 36.35392153026177)
VDS0060,VL1830000066,AW3017040600,1850011000,1850004800,1850004700,4.0,103,000,32,일반국도32호선,0,0,000,70.0,0,0.0,0.0,507.200454577,계룡로,POINT (127.36185788084656 36.35418009391967)
VDS0061,VL1880000067,AS3023003000,1870004800,1870002500,1870002200,3.0,103,000,17,일반국도17호선,0,0,000,60.0,0,0.0,0.0,786.721605073,신탄진로,POINT (127.4244052 36.43445681)
VDS0062,VL1880000068,AN3023002800,1870004700,1870002200,1870002500,3.0,103,000,17,일반국도17호선,0,0,000,60.0,0,0.0,0.0,789.691003903,신탄진로,POINT (127.425058 36.43437197)
VDS0063,VL1880000069,AS3023004402,1870045800,1870017700,1870019900,3.0,103,000,17,일반국도17호선,0,0,000,60.0,0,0.0,0.0,437.35739448,신탄진로,POINT (127.42062737006304 36.37113883265501)
VDS0064,VL1880000070,AN3023004402,1870045900,1870019900,1870017700,3.0,103,000,17,일반국도17호선,0,0,000,60.0,0,0.0,0.0,433.386261993,신탄진로,POINT (127.4201398 36.37130232)
VDS0065,VL1880000071,AS3023005800,1870001600,1870000900,1870000700,3.0,104,000,17,계족로,0,0,000,60.0,0,0.0,0.0,314.369934015,,POINT (127.43019262742106 36.366068989131804)
VDS0066,VL1880000072,AN3023005800,1870001500,1870000700,1870000900,3.0,104,000,17,계족로,0,0,000,60.0,0,0.0,0.0,314.470008739,,POINT (127.43042140796287 36.36599208586251)
VDS0067,VL1880000074,AE3023007600,1870024500,1870011800,1870010900,2.0,104,000,-,우암로,0,0,000,50.0,0,0.0,0.0,166.916297576,,POINT (127.44468187257249 36.36213828532599)
VDS0067,VL1880000073,AW3023007600,1870024400,1870010900,1870011800,2.0,104,000,-,우암로,0,0,000,60.0,0,0.0,0.0,167.082239827,,POINT (127.44474662786733 36.36227924536812)
VDS0068,VL1880000075,AW3011002200,1830041200,1830015700,1830015400,4.0,104,000,17,동서로,0,0,000,60.0,0,0.0,0.0,289.248870466,,POINT (127.4360888 36.34930206)
VDS0069,VL1880000076,AE3011002300,1830041100,1830015400,1830015700,4.0,104,000,17,동서로,0,0,000,60.0,0,0.0,0.0,289.290726469,,POINT (127.4365225 36.34865598)
VDS0070,VL1880000077,AE3011004200,1830037200,1830014500,1830014800,2.0,104,000,16,우암로,0,0,000,50.0,0,0.0,0.0,374.690469429,"시간제7~10,18~21",POINT (127.44446595348546 36.3446892269979)
VDS0070,VL1880000078,AW3011004200,1830037100,1830014800,1830014500,1.0,104,000,16,우암로,0,0,000,50.0,0,0.0,0.0,374.696797917,"시간제7~10,18~21",POINT (127.44424549079518 36.34481866629897)
VDS0071,VL1880000079,AS3011005300,1830026400,1830011400,1830009900,3.0,103,000,17,일반국도17호선,0,0,000,50.0,0,0.0,0.0,540.097680046,삼성로,POINT (127.430737 36.33499865)
VDS0072,VL1880000080,AN3011005300,1830026300,1830009900,1830011400,3.0,103,000,17,일반국도17호선,0,0,000,50.0,0,0.0,0.0,539.303546975,삼성로,POINT (127.4310328 36.33530376)
VDS0073,VL1880000081,AW3011009200,1830007601,1830002400,1830003401,4.0,103,000,4,일반국도4호선,0,0,000,70.0,0,0.0,0.0,713.548530671,옥천길,POINT (127.4505161 36.31913762)
VDS0074,VL1880000082,AE3011009100,1830007502,1830003400,1830003401,4.0,103,000,4,일반국도4호선,0,0,000,70.0,0,0.0,0.0,483.342754867,옥천길,POINT (127.4478861 36.31972365)
VDS0075,VL1880000083,AW3014008800,1840005400,1840002600,1840002300,3.0,103,000,4,일반국도4호선,0,0,000,50.0,0,0.0,0.0,271.373624148,충무로,POINT (127.43449814564381 36.32074216388616)
VDS0076,VL1880000084,AE3014008800,1840005300,1840002300,1840002600,3.0,103,000,4,일반국도4호선,0,0,000,50.0,0,0.0,0.0,270.530848718,충무로,POINT (127.43470414564382 36.32039016388616)
VDS0077,VL1880000086,AN3014006600,1840036200,1840011800,1840013500,1.0,104,000,-,오토바이거리,0,0,000,40.0,0,0.0,0.0,314.848128787,,POINT (127.43087208308118 36.32392087256687)
VDS0077,VL1880000085,AS3014006600,1840036100,1840013500,1840011800,1.0,104,000,-,오토바이거리,0,0,000,40.0,0,0.0,0.0,318.516853463,,POINT (127.43069882752718 36.32383202232411)
